Province,Cases,Deaths,Recoveries,Active Cases,Tests,Date
#adm1+name,#affected+infected+cases,#affected+infected+deaths,#affected+infected+recoveries,#affected+infected+active,,#date
Badakhshan,688,25,639,,,2021-05-19
Badghis,854,16,810,,,2021-05-19
Baghlan,"1,171",37,"1,062",,,2021-05-19
Balkh,"3,614",181,"3,218",,,2021-05-19
Bamyan,"1,033",18,925,,,2021-05-19
Dykundi,948,20,920,,,2021-05-19
Farah,644,46,545,,,2021-05-19
Faryab,468,30,375,,,2021-05-19
Ghazni,"1,016",79,845,,,2021-05-19
Ghor,711,17,572,,,2021-05-19
Helmand,635,39,459,,,2021-05-19
Hirat,"9,520",445,"8,931",,,2021-05-19
Jawzjan,248,14,210,,,2021-05-19
Kabul,"18,404",895,"16,211",,,2021-05-19
Kandahar,"3,607",76,"2,985",,,2021-05-19
Kapisa,719,24,592,,,2021-05-19
Khost,739,86,602,,,2021-05-19
Kunar,833,53,724,,,2021-05-19
Kunduz,"1,060",57,915,,,2021-05-19
Laghman,"1,163",24,"1,084",,,2021-05-19
Logar,834,39,674,,,2021-05-19
Nangarhar,"4,528",204,"3,323",,,2021-05-19
Nimroz,831,27,693,,,2021-05-19
Nooristan,195,2,149,,,2021-05-19
Paktika,386,17,306,,,2021-05-19
Paktya,"1,619",60,"1,505",,,2021-05-19
Panjsher,469,20,341,,,2021-05-19
Parwan,963,31,797,,,2021-05-19
Samangan,361,18,326,,,2021-05-19
Sar-e-Pul,236,6,230,,,2021-05-19
Takhar,"2,169",74,"1,999",,,2021-05-19
Urozgan,242,7,152,,,2021-05-19
Wardak,802,31,559,,,2021-05-19
Zabul,403,22,321,,,2021-05-19
Badakhshan,686,25,639,,,2021-05-18
Badghis,854,16,810,,,2021-05-18
Baghlan,"1,171",37,"1,062",,,2021-05-18
Balkh,"3,602",181,"3,197",,,2021-05-18
Bamyan,"1,030",18,925,,,2021-05-18
Dykundi,943,20,917,,,2021-05-18
Farah,639,46,545,,,2021-05-18
Faryab,467,30,375,,,2021-05-18
Ghazni,"1,010",79,827,,,2021-05-18
Ghor,711,17,572,,,2021-05-18
Helmand,617,37,444,,,2021-05-18
Hirat,"9,515",444,"8,923",,,2021-05-18
Jawzjan,248,14,210,,,2021-05-18
Kabul,"18,309",890,"16,211",,,2021-05-18
Kandahar,"3,565",75,"2,975",,,2021-05-18
Kapisa,719,24,592,,,2021-05-18
Khost,738,86,602,,,2021-05-18
Kunar,830,53,724,,,2021-05-18
Kunduz,"1,053",57,915,,,2021-05-18
Laghman,"1,154",23,"1,084",,,2021-05-18
Logar,834,39,674,,,2021-05-18
Nangarhar,"4,510",204,"3,322",,,2021-05-18
Nimroz,824,27,693,,,2021-05-18
Nooristan,195,2,148,,,2021-05-18
Paktika,386,17,302,,,2021-05-18
Paktya,"1,619",60,"1,489",,,2021-05-18
Panjsher,464,19,341,,,2021-05-18
Parwan,962,31,797,,,2021-05-18
Samangan,361,18,326,,,2021-05-18
