Date,dhaka,faridpur,gazipur,gopalganj,kishorganj,madaripur,manikganj,munshiganj,narayanganj,narshingdi,rajbari,shariatpur,tangail,bandarban,brahmanbaria,chandpur,chittagong,comilla,coxs bazar,feni,khagrachari,lakshmipur,noakhali,rangamati,barguna,barisal,bhola,jhalakati,patuakhali,perojpur,bagerhat,chuadanga,jessore,jhenaidah,khulna,kushtia,magura,meherpur,narail,satkhira,jamalpur,mymensingh,netrokona,sherpur,bogra,joypurhat,natore,noagoan,nowabganj,pabna,rajshahi,shirajganj,dinajpur,gaibandha,kurigram,lalmonirhat,nilphamari,panchagharh,rangpur,thakurgaon,habiganj,moulvi bazar,shunamganj,sylhet
"April 15, 2020",546,2,53,9,17,19,5,21,214,28,6,5,9,0,8,6,31,14,1,0,0,1,1,0,4,10,0,3,2,4,0,1,0,0,1,0,0,0,1,0,12,7,4,3,0,0,0,0,0,0,4,0,7,12,2,2,6,0,2,3,1,2,1,1
"April 16, 2020",636,2,98,17,33,23,5,21,255,64,7,6,9,0,8,7,36,14,1,0,0,1,2,0,4,12,0,3,2,4,0,1,0,0,1,0,0,0,1,0,12,9,6,5,0,0,0,0,0,0,3,0,8,12,2,2,6,0,3,3,1,2,1,3
"April 17, 2020",768,2,117,17,33,23,5,27,289,65,7,6,9,1,9,8,37,15,1,0,0,18,2,0,5,17,0,3,2,4,1,1,1,0,1,0,0,0,2,0,12,18,7,5,1,2,0,0,0,1,4,0,8,12,2,2,6,0,1,3,1,2,1,3
"April 18, 2020",877,4,161,21,54,25,6,33,309,93,7,6,9,1,10,8,38,17,1,1,0,18,3,0,9,18,0,3,2,4,1,1,1,0,1,0,0,0,2,0,17,19,12,11,1,2,0,0,0,1,4,0,9,12,2,2,9,1,3,5,1,2,1,3
"April 19, 2020",1014,4,173,21,77,26,6,33,386,105,7,7,10,1,11,8,39,19,1,2,0,21,3,0,10,21,0,4,2,4,1,1,1,0,1,0,0,0,2,0,20,21,14,11,1,2,0,0,0,2,4,0,10,12,2,2,9,1,2,6,1,2,1,3
"April 20, 2020",1216,6,269,30,146,25,7,33,387,135,8,8,10,1,11,10,43,21,1,2,0,25,4,0,12,24,0,4,2,5,2,1,1,0,3,0,0,0,2,0,21,33,14,13,1,2,0,1,0,2,5,1,11,13,2,2,9,1,6,6,1,2,1,4
"April 21, 2020",1277,5,269,30,146,26,9,54,469,136,10,8,13,1,11,10,41,25,5,3,0,25,4,0,17,32,0,4,7,5,1,2,1,0,3,0,0,0,2,0,22,40,18,19,2,3,0,1,1,3,9,2,11,13,3,2,9,1,7,6,11,2,1,4
"April 22, 2020",1522,6,269,35,146,27,9,61,508,136,9,11,15,4,24,10,42,27,5,3,0,25,4,0,17,34,0,5,10,5,1,2,5,0,4,2,1,1,7,0,29,63,22,19,5,4,0,1,1,3,9,2,13,13,3,2,10,2,9,8,13,2,1,4
"April 23, 2020",1736,7,292,40,179,28,9,63,532,141,11,11,16,4,25,10,45,27,5,3,0,26,4,0,20,34,0,5,10,5,1,8,7,0,6,4,2,2,7,0,30,68,22,19,10,4,1,1,1,3,9,2,13,14,4,2,10,2,10,8,18,4,5,6
"April 24, 2020",2124,8,294,43,180,28,12,63,566,141,11,11,21,4,25,10,45,32,6,3,0,27,4,0,23,35,2,5,16,5,1,8,7,0,7,4,2,2,7,0,30,68,22,19,10,4,1,2,1,3,9,2,13,14,5,2,10,3,15,8,21,4,13,11
"April 25, 2020",2299,9,261,46,181,29,12,62,594,141,12,14,22,4,29,10,46,39,6,3,0,28,5,0,23,38,2,5,19,7,1,8,7,0,7,4,2,2,7,0,37,87,25,19,11,4,1,2,1,3,10,2,13,16,3,2,10,3,18,7,21,4,13,11
"April 26, 2020",2564,9,308,49,183,30,12,72,625,142,14,22,23,4,31,11,48,41,13,4,0,28,5,0,30,38,2,5,20,7,1,8,22,7,7,4,4,2,10,0,45,92,25,19,17,8,1,1,2,2,9,2,14,16,3,2,10,4,20,7,47,6,14,12
"April 27, 2020",2802,9,315,49,191,36,15,78,699,142,14,22,24,4,35,11,56,42,13,4,0,31,5,0,30,38,2,5,20,7,1,8,26,11,8,10,4,2,13,0,45,108,25,23,17,10,1,1,2,2,10,2,14,17,6,2,10,4,21,8,48,12,15,14
"April 28, 2020",3095,9,318,50,194,38,15,82,849,142,14,24,27,4,35,11,67,47,19,4,0,34,6,0,30,40,4,6,23,8,1,8,36,19,8,10,4,2,13,0,52,117,27,23,17,21,1,1,2,8,10,3,16,19,6,2,11,7,28,15,48,12,26,16
"April 29, 2020",3518,12,320,52,197,38,21,109,863,142,14,24,28,4,37,13,70,81,20,4,0,35,6,0,30,40,5,6,23,8,1,8,62,19,11,13,6,2,13,1,58,125,29,25,18,28,8,15,2,8,19,3,18,20,7,3,13,8,28,16,52,12,28,16
"April 30, 2020",3850,12,322,45,200,39,21,110,923,145,17,30,29,4,40,14,74,93,23,6,1,35,6,0,30,40,5,8,27,9,2,9,63,19,11,15,7,2,13,1,61,143,29,25,19,32,9,15,2,10,19,3,18,21,7,8,13,8,31,16,53,12,28,18
01-May-20,4082,13,322,45,201,39,22,112,966,151,19,30,29,7,43,15,75,99,37,6,2,41,9,0,33,40,5,8,28,9,2,9,63,19,13,16,8,2,13,2,66,145,32,26,19,33,9,15,2,10,20,3,21,21,8,3,15,8,38,17,55,12,29,18
02-May-20,4418,13,322,45,201,46,22,122,987,152,19,39,29,7,43,15,78,104,37,6,2,41,9,0,33,40,5,8,28,9,2,9,63,19,13,16,8,2,13,2,66,145,32,26,19,33,9,16,2,10,20,3,21,24,15,3,16,8,45,17,67,17,33,18
03-May-20,4609,13,324,45,201,46,22,126,1007,152,19,35,29,7,44,15,80,105,37,6,2,42,15,0,36,41,5,10,28,10,2,9,63,19,16,16,8,2,13,2,73,150,41,26,19,33,9,16,2,10,21,3,21,25,19,3,16,8,50,17,67,17,33,18
04-May-20,4895,14,325,47,202,47,22,127,1021,154,19,40,30,7,55,15,82,105,37,6,2,43,17,0,36,41,5,10,28,10,2,9,63,19,16,16,8,2,13,2,73,166,51,26,19,33,9,16,2,11,21,4,20,23,22,3,23,8,62,19,69,19,33,18
05-May-20,5357,15,326,44,202,48,24,161,1055,166,22,44,30,4,56,27,82,112,39,6,2,45,21,0,33,41,5,10,28,0,2,10,74,27,17,16,7,3,13,3,74,169,52,26,18,34,10,17,2,15,25,4,21,24,22,4,25,8,75,19,69,21,35,24
06-May-20,5842,21,328,45,202,53,28,170,1072,167,23,54,30,4,56,37,112,130,40,7,2,45,22,0,33,41,6,10,28,0,2,15,75,33,17,18,8,4,13,4,79,198,62,26,18,34,11,17,2,16,26,4,29,24,22,4,31,8,82,20,70,29,35,27
07-May-20,6081,21,328,45,202,53,28,178,1078,167,23,55,30,4,56,42,140,135,53,7,2,48,22,4,34,47,7,13,28,0,2,15,75,33,20,20,8,4,13,4,79,201,63,28,18,37,11,17,11,16,26,4,31,24,22,4,31,9,89,20,70,29,35,27
08-May-20,6365,21,330,49,202,54,28,210,1136,171,23,57,31,4,57,43,159,150,72,8,2,50,27,4,34,48,7,13,28,0,2,15,79,34,20,20,11,5,13,4,102,204,64,30,18,39,12,24,12,16,26,6,36,24,22,13,35,10,89,23,70,30,35,28
09-May-20,6629,21,332,50,202,54,28,212,1177,171,23,57,31,4,57,55,207,169,77,8,3,58,27,4,35,48,7,13,28,6,3,23,79,38,20,20,12,5,13,4,104,212,68,30,18,39,12,24,14,16,26,6,36,24,34,13,41,10,120,23,70,30,35,28
10-May-20,6868,24,333,56,202,54,28,216,1198,171,23,57,31,4,57,55,220,171,83,8,3,58,30,4,37,54,7,13,28,7,3,23,79,38,20,20,12,5,13,4,110,221,68,36,18,42,13,25,14,18,26,6,36,25,35,13,41,10,128,23,73,33,38,36
11-May-20,7409,24,338,58,205,57,29,216,1243,172,23,65,31,4,57,56,266,182,95,9,3,59,48,4,37,55,10,13,29,7,3,25,79,40,22,23,14,5,14,4,110,223,70,39,18,42,13,25,14,18,26,6,42,25,35,13,41,10,134,23,74,36,38,36
12-May-20,7409,24,338,58,205,57,29,216,1243,172,23,65,31,4,57,56,266,182,95,9,3,59,48,4,37,55,10,13,29,7,3,25,79,40,22,23,14,5,14,4,110,223,70,39,18,42,13,25,14,18,26,6,42,25,35,13,41,10,134,23,74,36,38,36
13-May-20,7409,24,338,58,205,57,29,216,1243,172,23,65,31,4,57,56,266,182,95,9,3,59,48,4,37,55,10,13,29,7,3,25,79,40,22,23,14,5,14,4,110,223,70,39,18,42,13,25,14,18,26,6,42,25,35,13,41,10,134,23,74,36,38,36
14-May-20,8490,47,460,65,206,61,29,283,1345,173,24,66,31,5,59,74,497,225,127,25,7,89,69,24,37,59,11,13,29,7,6,41,89,45,23,25,22,5,15,5,112,262,82,40,29,55,14,33,15,18,27,6,46,25,39,15,43,11,156,24,100,37,43,39
15-May-20,8845,51,490,78,206,61,29,297,1391,173,27,67,35,5,60,77,553,259,139,26,7,93,89,25,37,60,11,14,29,7,6,41,89,45,23,25,22,5,15,5,113,276,89,41,29,56,14,40,15,18,30,6,46,26,39,17,43,11,173,24,100,37,43,39
16-May-20,9190,55,509,82,206,61,29,297,1426,173,27,67,35,5,60,79,619,278,161,48,7,88,103,26,37,60,11,14,29,7,6,79,106,44,27,25,23,5,15,5,118,284,91,41,29,69,14,45,15,18,31,7,53,26,42,22,50,15,213,27,100,37,44,40
