Region/Country/Area,Land,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Land area (thousand hectares),13010426.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Arable land (thousand hectares),1405868.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Permanent crops (thousand hectares),148343.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Forest cover (thousand hectares),4032743.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Arable land (% of total land area),10.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Permanent crops (% of total land area),1.1000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Forest cover (% of total land area),31.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),40.1000,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
1,"Total, all countries or areas",2010,Land area (thousand hectares),13008350.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Arable land (thousand hectares),1388167.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Permanent crops (thousand hectares),159209.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Forest cover (thousand hectares),4015673.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Arable land (% of total land area),10.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Permanent crops (% of total land area),1.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Forest cover (% of total land area),30.9000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),44.3700,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
1,"Total, all countries or areas",2016,Land area (thousand hectares),13008757.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Arable land (thousand hectares),1423794.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Permanent crops (thousand hectares),166201.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Forest cover (thousand hectares),3995825.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Arable land (% of total land area),10.9000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Permanent crops (% of total land area),1.3000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Forest cover (% of total land area),30.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
1,"Total, all countries or areas",2016,Important sites for terrestrial biodiversity protected (% of total sites protected),46.5800,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
1,"Total, all countries or areas",2018,Important sites for terrestrial biodiversity protected (% of total sites protected),46.6500,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
2,Africa,2005,Land area (thousand hectares),2964823.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2005,Arable land (thousand hectares),216298.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2005,Permanent crops (thousand hectares),30844.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2005,Forest cover (thousand hectares),654679.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2005,Arable land (% of total land area),7.3000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2005,Permanent crops (% of total land area),1.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2005,Forest cover (% of total land area),22.1000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Land area (thousand hectares),2964894.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Arable land (thousand hectares),226601.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Permanent crops (thousand hectares),33026.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Forest cover (thousand hectares),638282.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Arable land (% of total land area),7.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Permanent crops (% of total land area),1.1000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2010,Forest cover (% of total land area),21.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Land area (thousand hectares),2964921.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Arable land (thousand hectares),234952.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Permanent crops (thousand hectares),33927.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Forest cover (thousand hectares),621267.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Arable land (% of total land area),7.9000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Permanent crops (% of total land area),1.1000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
2,Africa,2016,Forest cover (% of total land area),21.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Land area (thousand hectares),838039.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Arable land (thousand hectares),41430.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Permanent crops (thousand hectares),5310.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Forest cover (thousand hectares),36954.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Arable land (% of total land area),4.9000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Permanent crops (% of total land area),0.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Forest cover (% of total land area),4.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),21.1300,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
15,Northern Africa,2010,Land area (thousand hectares),838039.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2010,Arable land (thousand hectares),42525.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2010,Permanent crops (thousand hectares),5806.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2010,Forest cover (thousand hectares),36813.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2010,Arable land (% of total land area),5.1000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2010,Permanent crops (% of total land area),0.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2010,Forest cover (% of total land area),4.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),24.8400,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
15,Northern Africa,2016,Land area (thousand hectares),838039.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2016,Arable land (thousand hectares),42768.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2016,Permanent crops (thousand hectares),6252.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2016,Forest cover (thousand hectares),28672.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2016,Arable land (% of total land area),5.1000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2016,Permanent crops (% of total land area),0.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2016,Forest cover (% of total land area),3.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
15,Northern Africa,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),37.9600,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
15,Northern Africa,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),37.9600,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
202,Sub-Saharan Africa,2005,Land area (thousand hectares),2126784.0000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2005,Arable land (thousand hectares),174868.0000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2005,Permanent crops (thousand hectares),25534.0000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2005,Forest cover (thousand hectares),617725.0000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2005,Arable land (% of total land area),8.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2005,Permanent crops (% of total land area),1.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2005,Forest cover (% of total land area),29.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.9400,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
202,Sub-Saharan Africa,2010,Land area (thousand hectares),2126855.0000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Arable land (thousand hectares),184076.0000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Permanent crops (thousand hectares),27221.0000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Forest cover (thousand hectares),601469.0000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Arable land (% of total land area),8.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Permanent crops (% of total land area),1.3000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Forest cover (% of total land area),28.3000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),40.1700,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
202,Sub-Saharan Africa,2016,Land area (thousand hectares),2126882.0000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Arable land (thousand hectares),192184.0000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Permanent crops (thousand hectares),27675.0000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Forest cover (thousand hectares),592595.0000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Arable land (% of total land area),9.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Permanent crops (% of total land area),1.3000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Forest cover (% of total land area),27.9000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
202,Sub-Saharan Africa,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),41.6500,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
202,Sub-Saharan Africa,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),41.9900,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
14,Eastern Africa,2005,Land area (thousand hectares),605629.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2005,Arable land (thousand hectares),55770.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2005,Permanent crops (thousand hectares),6913.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2005,Forest cover (thousand hectares),203745.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2005,Arable land (% of total land area),9.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2005,Permanent crops (% of total land area),1.1000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2005,Forest cover (% of total land area),33.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2010,Land area (thousand hectares),605700.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
14,Eastern Africa,2010,Arable land (thousand hectares),62728.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
