Region/Country/Area,Gross domestic expenditure on research and development (R&D),Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
1,"Total, all countries or areas",2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
1,"Total, all countries or areas",2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
15,Northern Africa,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
15,Northern Africa,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
15,Northern Africa,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
202,Sub-Saharan Africa,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
202,Sub-Saharan Africa,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
202,Sub-Saharan Africa,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
21,Northern America,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
21,Northern America,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
21,Northern America,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
419,Latin America & the Caribbean,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
419,Latin America & the Caribbean,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
419,Latin America & the Caribbean,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
143,Central Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
143,Central Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
143,Central Asia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
30,Eastern Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
30,Eastern Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
30,Eastern Asia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
35,South-eastern Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
35,South-eastern Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
35,South-eastern Asia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
34,Southern Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
34,Southern Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
34,Southern Asia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
145,Western Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
145,Western Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
145,Western Asia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
150,Europe,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
150,Europe,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
150,Europe,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
9,Oceania,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
9,Oceania,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
9,Oceania,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.8000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
53,Australia and New Zealand,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
53,Australia and New Zealand,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
53,Australia and New Zealand,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.8000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
8,Albania,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
8,Albania,2008,Gross domestic expenditure on R & D: Business enterprises (%),3.3000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
8,Albania,2008,Gross domestic expenditure on R & D: Government (%),80.8000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
8,Albania,2008,Gross domestic expenditure on R & D: Higher education (%),8.6000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
8,Albania,2008,Gross domestic expenditure on R & D: Funds from abroad (%),7.4000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
12,Algeria,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
16,American Samoa,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
16,American Samoa,2006,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2005,Gross domestic expenditure on R & D: Business enterprises (%),31.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2005,Gross domestic expenditure on R & D: Government (%),59.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2005,Gross domestic expenditure on R & D: Higher education (%),5.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2005,Gross domestic expenditure on R & D: Private non-profit (%),3.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2005,Gross domestic expenditure on R & D: Funds from abroad (%),0.7000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2005,Gross domestic expenditure on R & D: Not distributed (%),0.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2008,Gross domestic expenditure on R & D: Business enterprises (%),26.5000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2008,Gross domestic expenditure on R & D: Government (%),67.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2008,Gross domestic expenditure on R & D: Higher education (%),4.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2008,Gross domestic expenditure on R & D: Private non-profit (%),1.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2008,Gross domestic expenditure on R & D: Funds from abroad (%),0.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2008,Gross domestic expenditure on R & D: Not distributed (%),0.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2015,Gross domestic expenditure on R & D: Business enterprises (%),17.2000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2015,Gross domestic expenditure on R & D: Government (%),76.4000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2015,Gross domestic expenditure on R & D: Higher education (%),2.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2015,Gross domestic expenditure on R & D: Private non-profit (%),1.0000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2015,Gross domestic expenditure on R & D: Funds from abroad (%),3.3000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2005,Gross domestic expenditure on R & D: Government (%),77.5000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2005,Gross domestic expenditure on R & D: Funds from abroad (%),4.7000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2005,Gross domestic expenditure on R & D: Not distributed (%),17.8000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2010,Gross domestic expenditure on R & D: Government (%),84.5000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2010,Gross domestic expenditure on R & D: Funds from abroad (%),11.7000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2010,Gross domestic expenditure on R & D: Not distributed (%),3.8000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2000,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,Gross domestic expenditure on R & D: Government (%),72.9000,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,Gross domestic expenditure on R & D: Funds from abroad (%),1.8000,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,Gross domestic expenditure on R & D: Not distributed (%),25.2000,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,Gross domestic expenditure on R & D: Business enterprises (%),54.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,Gross domestic expenditure on R & D: Government (%),40.3000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,Gross domestic expenditure on R & D: Higher education (%),0.4000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,Gross domestic expenditure on R & D: Private non-profit (%),1.9000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
