,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?
18-Mar,0.00,1.00,17.00,0.00,0.00,3.00,158.00,0.00,24.00,8.00,8.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19-Mar,0.00,1.00,27.00,0.00,0.00,5.00,210.00,0.00,26.00,12.00,9.00,2.00,3.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,2.00,3.00,2.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20-Mar,0.00,4.00,37.00,0.00,0.00,4.00,215.00,0.00,41.00,12.00,15.00,2.00,10.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,2.00,3.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00
21-Mar,0.00,3.00,43.00,0.00,0.00,5.00,267.00,0.00,55.00,14.00,26.00,2.00,9.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,2.00,3.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
22-Mar,0.00,3.00,47.00,0.00,0.00,5.00,307.00,0.00,59.00,15.00,41.00,2.00,9.00,2.00,1.00,0.00,4.00,0.00,0.00,0.00,1.00,2.00,3.00,2.00,0.00,1.00,1.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,6.00
23-Mar,0.00,6.00,56.00,0.00,0.00,5.00,353.00,1.00,59.00,15.00,41.00,2.00,11.00,2.00,1.00,0.00,5.00,0.00,0.00,0.00,1.00,2.00,3.00,2.00,0.00,1.00,1.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00,8.00
24-Mar,0.00,6.00,65.00,0.00,0.00,6.00,424.00,1.00,60.00,19.00,51.00,3.00,11.00,3.00,1.00,0.00,5.00,1.00,1.00,0.00,2.00,7.00,3.00,4.00,0.00,1.00,2.00,1.00,1.00,0.00,3.00,0.00,0.00,0.00,5.00
25-Mar,0.00,9.00,67.00,0.00,0.00,17.00,463.00,1.00,73.00,38.00,51.00,3.00,11.00,3.00,2.00,0.00,5.00,2.00,1.00,0.00,2.00,7.00,3.00,13.00,0.00,1.00,1.00,1.00,1.00,0.00,3.00,0.00,0.00,0.00,12.00
26-Mar,1.00,9.00,67.00,0.00,0.00,16.00,515.00,1.00,78.00,40.00,59.00,3.00,11.00,6.00,1.00,0.00,5.00,2.00,1.00,3.00,2.00,8.00,3.00,27.00,1.00,3.00,2.00,1.00,1.00,0.00,7.00,0.00,0.00,0.00,20.00
27-Mar,4.00,9.00,84.00,0.00,0.00,22.00,598.00,1.00,98.00,43.00,66.00,3.00,11.00,6.00,1.00,0.00,5.00,2.00,1.00,5.00,2.00,8.00,3.00,29.00,1.00,4.00,1.00,1.00,1.00,2.00,7.00,0.00,0.00,0.00,28.00
28-Mar,4.00,9.00,103.00,0.00,0.00,22.00,627.00,1.00,119.00,55.00,77.00,3.00,17.00,7.00,1.00,2.00,5.00,2.00,2.00,5.00,2.00,8.00,3.00,33.00,2.00,4.00,1.00,1.00,1.00,2.00,7.00,0.00,0.00,0.00,30.00
29-Mar,5.00,10.00,106.00,0.00,0.00,22.00,675.00,1.00,149.00,63.00,90.00,8.00,17.00,7.00,1.00,2.00,5.00,2.00,2.00,5.00,2.00,8.00,3.00,47.00,2.00,4.00,2.00,1.00,1.00,2.00,9.00,1.00,0.00,0.00,33.00
30-Mar,5.00,19.00,128.00,1.00,0.00,18.00,698.00,2.00,180.00,81.00,91.00,9.00,17.00,7.00,5.00,2.00,6.00,2.00,2.00,8.00,2.00,13.00,3.00,50.00,3.00,8.00,3.00,1.00,1.00,2.00,9.00,1.00,0.00,0.00,37.00
31-Mar,5.00,19.00,142.00,2.00,1.00,23.00,747.00,2.00,198.00,93.00,93.00,9.00,20.00,9.00,8.00,2.00,7.00,4.00,5.00,8.00,2.00,19.00,3.00,50.00,3.00,8.00,3.00,1.00,1.00,2.00,10.00,1.00,0.00,0.00,28.00
1-Apr,5.00,25.00,152.00,2.00,1.00,28.00,808.00,2.00,220.00,104.00,104.00,10.00,21.00,9.00,8.00,2.00,7.00,6.00,5.00,8.00,3.00,22.00,3.00,66.00,2.00,8.00,3.00,1.00,1.00,2.00,10.00,1.00,0.00,0.00,28.00
2-Apr,5.00,25.00,164.00,2.00,1.00,27.00,897.00,2.00,223.00,104.00,104.00,10.00,21.00,9.00,8.00,2.00,7.00,6.00,11.00,8.00,3.00,22.00,3.00,66.00,2.00,8.00,7.00,1.00,1.00,2.00,10.00,1.00,0.00,0.00,28.00
3-Apr,5.00,27.00,170.00,2.00,2.00,27.00,971.00,2.00,225.00,114.00,155.00,10.00,22.00,12.00,8.00,8.00,8.00,7.00,12.00,8.00,3.00,22.00,6.00,82.00,4.00,12.00,10.00,1.00,1.00,2.00,16.00,1.00,0.00,0.00,31.00
4-Apr,5.00,32.00,173.00,2.00,2.00,33.00,1028.00,2.00,247.00,120.00,152.00,10.00,24.00,11.00,8.00,8.00,8.00,7.00,12.00,8.00,3.00,25.00,5.00,82.00,4.00,11.00,10.00,1.00,1.00,2.00,18.00,1.00,0.00,0.00,37.00
5-Apr,5.00,35.00,177.00,2.00,2.00,34.00,1124.00,2.00,252.00,120.00,188.00,10.00,30.00,11.00,16.00,8.00,9.00,7.00,16.00,8.00,3.00,25.00,6.00,83.00,4.00,11.00,11.00,1.00,1.00,2.00,26.00,2.00,0.00,0.00,42.00
6-Apr,5.00,43.00,187.00,2.00,2.00,40.00,1232.00,2.00,263.00,132.00,189.00,12.00,31.00,20.00,18.00,15.00,9.00,10.00,16.00,18.00,5.00,26.00,7.00,113.00,4.00,12.00,12.00,1.00,1.00,2.00,26.00,2.00,0.00,0.00,34.00
7-Apr,5.00,43.00,194.00,2.00,2.00,41.00,1369.00,2.00,343.00,133.00,194.00,10.00,31.00,20.00,18.00,15.00,9.00,10.00,16.00,18.00,8.00,26.00,7.00,127.00,5.00,12.00,12.00,1.00,1.00,2.00,26.00,2.00,0.00,0.00,34.00
8-Apr,6.00,49.00,212.00,2.00,2.00,41.00,1470.00,2.00,365.00,140.00,196.00,10.00,32.00,20.00,22.00,16.00,9.00,10.00,16.00,18.00,8.00,59.00,11.00,127.00,5.00,15.00,12.00,2.00,3.00,2.00,38.00,2.00,0.00,0.00,34.00
9-Apr,6.00,63.00,218.00,3.00,4.00,41.00,1706.00,2.00,376.00,144.00,223.00,10.00,32.00,20.00,22.00,16.00,22.00,16.00,17.00,18.00,8.00,59.00,15.00,138.00,5.00,15.00,12.00,2.00,3.00,2.00,38.00,2.00,1.00,0.00,34.00
10-Apr,5.00,75.00,243.00,3.00,4.00,41.00,1753.00,2.00,388.00,144.00,256.00,10.00,35.00,24.00,29.00,16.00,21.00,25.00,21.00,31.00,13.00,59.00,15.00,167.00,14.00,20.00,13.00,2.00,3.00,2.00,38.00,3.00,1.00,1.00,35.00
11-Apr,5.00,79.00,279.00,4.00,4.00,41.00,1948.00,4.00,421.00,144.00,267.00,10.00,35.00,24.00,29.00,16.00,21.00,27.00,21.00,31.00,13.00,59.00,16.00,178.00,19.00,20.00,16.00,2.00,3.00,2.00,62.00,5.00,1.00,1.00,35.00
12-Apr,5.00,81.00,281.00,4.00,4.00,41.00,2044.00,4.00,450.00,200.00,386.00,13.00,35.00,24.00,34.00,16.00,21.00,37.00,21.00,44.00,17.00,65.00,16.00,222.00,19.00,20.00,16.00,2.00,11.00,3.00,63.00,5.00,1.00,1.00,35.00
13-Apr,5.00,86.00,285.00,4.00,4.00,57.00,2186.00,4.00,540.00,203.00,440.00,13.00,35.00,25.00,34.00,16.00,21.00,37.00,18.00,45.00,17.00,67.00,16.00,223.00,19.00,21.00,20.00,2.00,11.00,2.00,68.00,5.00,1.00,1.00,26.00
14-Apr,5.00,92.00,280.00,4.00,4.00,62.00,2335.00,5.00,530.00,278.00,475.00,13.00,35.00,25.00,37.00,16.00,26.00,37.00,19.00,48.00,17.00,72.00,16.00,231.00,19.00,21.00,20.00,2.00,11.00,2.00,68.00,5.00,1.00,1.00,27.00
15-Apr,5.00,98.00,281.00,5.00,4.00,62.00,2474.00,6.00,559.00,292.00,499.00,13.00,35.00,33.00,49.00,20.00,32.00,37.00,22.00,55.00,18.00,78.00,24.00,242.00,22.00,20.00,20.00,4.00,14.00,2.00,75.00,7.00,1.00,1.00,27.00
16-Apr,5.00,113.00,297.00,6.00,4.00,62.00,2670.00,7.00,570.00,300.00,514.00,21.00,44.00,34.00,59.00,28.00,38.00,45.00,37.00,55.00,18.00,79.00,26.00,271.00,22.00,25.00,24.00,4.00,14.00,5.00,80.00,7.00,1.00,4.00,27.00
17-Apr,5.00,124.00,311.00,6.00,4.00,64.00,2815.00,8.00,632.00,304.00,522.00,21.00,44.00,35.00,74.00,47.00,58.00,51.00,54.00,62.00,18.00,79.00,27.00,332.00,24.00,26.00,26.00,4.00,14.00,5.00,89.00,7.00,1.00,4.00,26.00
18-Apr,6.00,131.00,321.00,6.00,4.00,67.00,2924.00,8.00,641.00,329.00,555.00,21.00,54.00,41.00,92.00,50.00,79.00,55.00,84.00,71.00,20.00,79.00,28.00,343.00,24.00,26.00,30.00,4.00,17.00,5.00,95.00,7.00,1.00,4.00,26.00
19-Apr,7.00,135.00,324.00,7.00,4.00,67.00,3032.00,8.00,696.00,349.00,590.00,21.00,59.00,46.00,96.00,69.00,79.00,61.00,89.00,72.00,20.00,81.00,37.00,370.00,27.00,26.00,30.00,4.00,17.00,7.00,107.00,7.00,1.00,4.00,26.00
20-Apr,7.00,140.00,341.00,7.00,4.00,69.00,3097.00,8.00,747.00,351.00,590.00,21.00,63.00,60.00,96.00,74.00,79.00,72.00,89.00,74.00,20.00,83.00,37.00,370.00,27.00,26.00,34.00,4.00,17.00,7.00,107.00,7.00,1.00,4.00,27.00
21-Apr,7.00,150.00,341.00,8.00,8.00,72.00,3260.00,13.00,756.00,449.00,603.00,27.00,68.00,67.00,98.00,77.00,81.00,93.00,89.00,76.00,20.00,84.00,37.00,374.00,27.00,27.00,35.00,4.00,17.00,7.00,118.00,7.00,1.00,7.00,27.00
22-Apr,7.00,152.00,337.00,8.00,8.00,75.00,3383.00,13.00,762.00,479.00,638.00,31.00,69.00,82.00,107.00,77.00,81.00,108.00,89.00,81.00,20.00,93.00,37.00,387.00,29.00,27.00,35.00,12.00,17.00,8.00,123.00,8.00,1.00,7.00,27.00
23-Apr,7.00,167.00,337.00,9.00,8.00,76.00,3517.00,14.00,784.00,538.00,664.00,50.00,74.00,83.00,114.00,77.00,83.00,115.00,93.00,86.00,31.00,95.00,37.00,397.00,29.00,38.00,36.00,14.00,17.00,13.00,130.00,8.00,1.00,7.00,26.00
24-Apr,8.00,177.00,359.00,9.00,8.00,77.00,3599.00,18.00,862.00,575.00,690.00,50.00,85.00,94.00,132.00,77.00,83.00,153.00,106.00,96.00,36.00,96.00,41.00,420.00,32.00,38.00,36.00,14.00,17.00,15.00,136.00,33.00,1.00,12.00,26.00
