date,name,iso3166-2,iso3166-1,cases,cumulative_cases
2020-03-27,Akmola Region,KZ-AKM,KZ,3,3
2020-03-28,Akmola Region,KZ-AKM,KZ,3,6
2020-03-30,Akmola Region,KZ-AKM,KZ,3,9
2020-03-31,Akmola Region,KZ-AKM,KZ,1,10
2020-04-01,Akmola Region,KZ-AKM,KZ,9,19
2020-04-04,Akmola Region,KZ-AKM,KZ,1,20
2020-04-05,Akmola Region,KZ-AKM,KZ,3,23
2020-04-06,Akmola Region,KZ-AKM,KZ,19,42
2020-04-08,Akmola Region,KZ-AKM,KZ,1,43
2020-04-09,Akmola Region,KZ-AKM,KZ,17,60
2020-04-10,Akmola Region,KZ-AKM,KZ,1,61
2020-04-12,Akmola Region,KZ-AKM,KZ,10,71
2020-04-13,Akmola Region,KZ-AKM,KZ,2,73
2020-04-14,Akmola Region,KZ-AKM,KZ,6,79
2020-04-15,Akmola Region,KZ-AKM,KZ,1,80
2020-04-16,Akmola Region,KZ-AKM,KZ,1,81
2020-04-19,Akmola Region,KZ-AKM,KZ,1,82
2020-04-21,Akmola Region,KZ-AKM,KZ,1,83
2020-04-24,Akmola Region,KZ-AKM,KZ,5,88
2020-04-25,Akmola Region,KZ-AKM,KZ,3,91
2020-04-26,Akmola Region,KZ-AKM,KZ,2,93
2020-04-28,Akmola Region,KZ-AKM,KZ,2,95
2020-04-29,Akmola Region,KZ-AKM,KZ,3,98
2020-04-30,Akmola Region,KZ-AKM,KZ,1,99
2020-05-02,Akmola Region,KZ-AKM,KZ,1,100
2020-05-04,Akmola Region,KZ-AKM,KZ,1,101
2020-05-07,Akmola Region,KZ-AKM,KZ,2,103
2020-05-08,Akmola Region,KZ-AKM,KZ,3,106
2020-05-10,Akmola Region,KZ-AKM,KZ,3,109
2020-05-11,Akmola Region,KZ-AKM,KZ,1,110
2020-05-15,Akmola Region,KZ-AKM,KZ,4,114
2020-05-16,Akmola Region,KZ-AKM,KZ,2,116
2020-05-17,Akmola Region,KZ-AKM,KZ,9,125
2020-05-18,Akmola Region,KZ-AKM,KZ,1,126
2020-05-19,Akmola Region,KZ-AKM,KZ,8,134
2020-05-21,Akmola Region,KZ-AKM,KZ,1,135
2020-05-22,Akmola Region,KZ-AKM,KZ,7,142
2020-05-23,Akmola Region,KZ-AKM,KZ,3,145
2020-05-25,Akmola Region,KZ-AKM,KZ,1,146
2020-05-26,Akmola Region,KZ-AKM,KZ,1,147
2020-05-28,Akmola Region,KZ-AKM,KZ,2,149
2020-05-29,Akmola Region,KZ-AKM,KZ,2,151
2020-05-31,Akmola Region,KZ-AKM,KZ,1,152
2020-06-01,Akmola Region,KZ-AKM,KZ,14,166
2020-06-04,Akmola Region,KZ-AKM,KZ,1,167
2020-06-05,Akmola Region,KZ-AKM,KZ,5,172
2020-06-06,Akmola Region,KZ-AKM,KZ,2,174
2020-06-07,Akmola Region,KZ-AKM,KZ,1,175
2020-06-08,Akmola Region,KZ-AKM,KZ,1,176
2020-06-09,Akmola Region,KZ-AKM,KZ,1,177
2020-06-10,Akmola Region,KZ-AKM,KZ,5,182
2020-06-11,Akmola Region,KZ-AKM,KZ,2,184
2020-06-12,Akmola Region,KZ-AKM,KZ,2,186
2020-06-13,Akmola Region,KZ-AKM,KZ,4,190
2020-06-14,Akmola Region,KZ-AKM,KZ,3,193
2020-06-15,Akmola Region,KZ-AKM,KZ,2,195
2020-06-16,Akmola Region,KZ-AKM,KZ,10,205
2020-06-17,Akmola Region,KZ-AKM,KZ,22,227
2020-06-18,Akmola Region,KZ-AKM,KZ,15,242
2020-06-19,Akmola Region,KZ-AKM,KZ,20,262
2020-06-20,Akmola Region,KZ-AKM,KZ,22,284
2020-06-21,Akmola Region,KZ-AKM,KZ,22,306
2020-06-22,Akmola Region,KZ-AKM,KZ,22,328
2020-06-23,Akmola Region,KZ-AKM,KZ,21,349
2020-06-24,Akmola Region,KZ-AKM,KZ,23,372
2020-06-25,Akmola Region,KZ-AKM,KZ,23,395
2020-06-26,Akmola Region,KZ-AKM,KZ,19,414
2020-06-27,Akmola Region,KZ-AKM,KZ,20,434
2020-06-28,Akmola Region,KZ-AKM,KZ,23,457
2020-06-29,Akmola Region,KZ-AKM,KZ,15,472
2020-06-30,Akmola Region,KZ-AKM,KZ,10,482
2020-07-01,Akmola Region,KZ-AKM,KZ,764,1246
2020-07-02,Akmola Region,KZ-AKM,KZ,52,1298
2020-07-03,Akmola Region,KZ-AKM,KZ,46,1344
2020-07-04,Akmola Region,KZ-AKM,KZ,42,1386
2020-07-05,Akmola Region,KZ-AKM,KZ,34,1420
2020-07-06,Akmola Region,KZ-AKM,KZ,32,1452
2020-07-07,Akmola Region,KZ-AKM,KZ,32,1484
2020-07-08,Akmola Region,KZ-AKM,KZ,28,1512
2020-07-09,Akmola Region,KZ-AKM,KZ,35,1547
2020-07-10,Akmola Region,KZ-AKM,KZ,34,1581
2020-07-11,Akmola Region,KZ-AKM,KZ,34,1615
2020-07-12,Akmola Region,KZ-AKM,KZ,38,1653
2020-07-13,Akmola Region,KZ-AKM,KZ,35,1688
2020-07-14,Akmola Region,KZ-AKM,KZ,39,1727
2020-07-15,Akmola Region,KZ-AKM,KZ,42,1769
2020-07-16,Akmola Region,KZ-AKM,KZ,43,1812
2020-07-17,Akmola Region,KZ-AKM,KZ,45,1857
2020-07-18,Akmola Region,KZ-AKM,KZ,42,1899
2020-07-22,Akmola Region,KZ-AKM,KZ,209,2108
2020-08-06,Akmola Region,KZ-AKM,KZ,789,2897
2020-08-23,Akmola Region,KZ-AKM,KZ,434,3331
2020-08-24,Akmola Region,KZ-AKM,KZ,12,3343
2020-08-25,Akmola Region,KZ-AKM,KZ,7,3350
2020-08-26,Akmola Region,KZ-AKM,KZ,8,3358
2020-08-27,Akmola Region,KZ-AKM,KZ,9,3367
2020-08-28,Akmola Region,KZ-AKM,KZ,13,3380
2020-08-29,Akmola Region,KZ-AKM,KZ,6,3386
2020-08-31,Akmola Region,KZ-AKM,KZ,7,3393
2020-09-01,Akmola Region,KZ-AKM,KZ,7,3400
2020-09-02,Akmola Region,KZ-AKM,KZ,5,3405
2020-09-03,Akmola Region,KZ-AKM,KZ,5,3410
2020-09-04,Akmola Region,KZ-AKM,KZ,5,3415
2020-09-05,Akmola Region,KZ-AKM,KZ,3,3418
2020-09-06,Akmola Region,KZ-AKM,KZ,3,3421
2020-09-07,Akmola Region,KZ-AKM,KZ,3,3424
2020-09-08,Akmola Region,KZ-AKM,KZ,4,3428
2020-09-09,Akmola Region,KZ-AKM,KZ,4,3432
2020-09-10,Akmola Region,KZ-AKM,KZ,3,3435
2020-09-11,Akmola Region,KZ-AKM,KZ,3,3438
2020-09-12,Akmola Region,KZ-AKM,KZ,3,3441
2020-09-13,Akmola Region,KZ-AKM,KZ,3,3444
2020-09-14,Akmola Region,KZ-AKM,KZ,3,3447
2020-09-15,Akmola Region,KZ-AKM,KZ,2,3449
2020-09-16,Akmola Region,KZ-AKM,KZ,3,3452
2020-09-17,Akmola Region,KZ-AKM,KZ,2,3454
2020-09-18,Akmola Region,KZ-AKM,KZ,2,3456
2020-09-19,Akmola Region,KZ-AKM,KZ,2,3458
2020-09-20,Akmola Region,KZ-AKM,KZ,2,3460
2020-09-21,Akmola Region,KZ-AKM,KZ,2,3462
2020-09-22,Akmola Region,KZ-AKM,KZ,2,3464
2020-09-23,Akmola Region,KZ-AKM,KZ,4,3468
2020-09-24,Akmola Region,KZ-AKM,KZ,3,3471
2020-09-25,Akmola Region,KZ-AKM,KZ,5,3476
2020-09-26,Akmola Region,KZ-AKM,KZ,4,3480
2020-09-27,Akmola Region,KZ-AKM,KZ,4,3484
2020-09-28,Akmola Region,KZ-AKM,KZ,2,3486
2020-09-29,Akmola Region,KZ-AKM,KZ,1,3487
2020-10-01,Akmola Region,KZ-AKM,KZ,2,3489
2020-10-02,Akmola Region,KZ-AKM,KZ,3,3492
2020-10-03,Akmola Region,KZ-AKM,KZ,4,3496
