"Population Estimates by County",""
"County","Population"
"Anderson County","57,735"
"Andrews County","18,705"
"Angelina County","86,715"
"Aransas County","23,510"
"Archer County","8,553"
"Armstrong County","1,887"
"Atascosa County","51,153"
"Austin County","30,032"
"Bailey County","7,000"
"Bandera County","23,112"
"Bastrop County","88,723"
"Baylor County","3,509"
"Bee County","32,565"
"Bell County","362,924"
"Bexar County","2,003,554"
"Blanco County","11,931"
"Borden County","654"
"Bosque County","18,685"
"Bowie County","93,245"
"Brazoria County","374,264"
"Brazos County","229,211"
"Brewster County","9,203"
"Briscoe County","1,546"
"Brooks County","7,093"
"Brown County","37,864"
"Burleson County","18,443"
"Burnet County","48,155"
"Caldwell County","43,664"
"Calhoun County","21,290"
"Callahan County","13,943"
"Cameron County","423,163"
"Camp County","13,094"
"Carson County","5,926"
"Cass County","30,026"
"Castro County","7,530"
"Chambers County","43,837"
"Cherokee County","52,646"
"Childress County","7,306"
"Clay County","10,471"
"Cochran County","2,853"
"Coke County","3,387"
"Coleman County","8,175"
"Collin County","1,034,730"
"Collingsworth County","2,920"
"Colorado County","21,493"
"Comal County","156,209"
"Comanche County","13,635"
"Concho County","2,726"
"Cooke County","41,257"
"Coryell County","75,951"
"Cottle County","1,398"
"Crane County","4,797"
"Crockett County","3,464"
"Crosby County","5,737"
"Culberson County","2,171"
"Dallam County","7,287"
"Dallas County","2,635,516"
"Dawson County","12,728"
"Dewitt County","20,160"
"Deaf Smith County","18,546"
"Delta County","5,331"
"Denton County","887,207"
"Dickens County","2,211"
"Dimmit County","10,124"
"Donley County","3,278"
"Duval County","11,157"
"Eastland County","18,360"
"Ector County","166,223"
"Edwards County","1,932"
"El Paso County","839,238"
"Ellis County","184,826"
"Erath County","42,698"
"Falls County","17,297"
"Fannin County","35,514"
"Fayette County","25,346"
"Fisher County","3,830"
"Floyd County","5,712"
"Foard County","1,155"
"Fort Bend County","811,688"
"Franklin County","10,725"
"Freestone County","19,717"
"Frio County","20,306"
"Gaines County","21,492"
"Galveston County","342,139"
"Garza County","6,229"
"Gillespie County","26,988"
"Glasscock County","1,409"
"Goliad County","7,658"
"Gonzales County","20,837"
"Gray County","21,886"
"Grayson County","136,212"
"Gregg County","123,945"
"Grimes County","28,880"
"Guadalupe County","166,847"
"Hale County","33,406"
"Hall County","2,964"
"Hamilton County","8,461"
"Hansford County","5,399"
"Hardeman County","3,933"
"Hardin County","57,602"
"Harris County","4,713,325"
"Harrison County","66,553"
"Hartley County","5,576"
"Haskell County","5,658"
"Hays County","230,191"
"Hemphill County","3,819"
"Henderson County","82,737"
"Hidalgo County","868,707"
"Hill County","36,649"
"Hockley County","23,021"
"Hood County","61,643"
"Hopkins County","37,084"
"Houston County","22,968"
"Howard County","36,664"
"Hudspeth County","4,886"
"Hunt County","98,594"
"Hutchinson County","20,938"
"Irion County","1,536"
"Jack County","8,935"
"Jackson County","14,760"
"Jasper County","35,529"
"Jeff Davis County","2,274"
"Jefferson County","251,565"
"Jim Hogg County","5,200"
"Jim Wells County","40,482"
"Johnson County","175,817"
"Jones County","20,083"
"Karnes County","15,601"
"Kaufman County","136,154"
