Code,District,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/23/2021,1/24/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/3/2021,2/4/2021,2/5/2021,2/6/2021,2/7/2021,2/8/2021,2/9/2021,2/10/2021,2/11/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021,4/1/2021,4/2/2021,4/3/2021,4/4/2021,4/5/2021,4/6/2021,4/7/2021,4/8/2021,4/9/2021,4/10/2021,4/11/2021,4/12/2021,4/13/2021,4/14/2021,4/15/2021,4/16/2021,4/17/2021,4/18/2021,4/19/2021,4/20/2021,4/21/2021,4/22/2021,4/23/2021,4/24/2021,4/25/2021,4/26/2021,4/27/2021,4/28/2021,4/29/2021,4/30/2021,5/1/2021,5/2/2021,5/3/2021,5/4/2021,5/5/2021,5/6/2021,5/7/2021,5/8/2021,5/9/2021,5/10/2021,5/11/2021,5/12/2021,5/13/2021,5/14/2021,5/15/2021,5/16/2021,5/17/2021,5/18/2021,5/19/2021,5/20/2021,5/21/2021,5/22/2021,5/23/2021,5/24/2021,5/25/2021,5/26/2021,5/27/2021,5/28/2021,5/29/2021,5/30/2021,5/31/2021,6/1/2021,6/2/2021,6/3/2021,6/4/2021,6/5/2021,6/6/2021,6/7/2021,6/8/2021,6/9/2021,6/10/2021,6/11/2021,6/12/2021,6/13/2021,6/14/2021,6/15/2021,6/16/2021,6/17/2021,6/18/2021,6/19/2021,6/20/2021,6/21/2021,6/22/2021,6/23/2021,6/24/2021,6/25/2021,6/26/2021,6/27/2021,6/28/2021,6/29/2021,6/30/2021,7/1/2021,7/2/2021,7/3/2021,7/4/2021,7/5/2021,7/6/2021,7/7/2021,7/8/2021,7/9/2021,7/10/2021,7/11/2021,7/12/2021,7/13/2021,7/14/2021,7/15/2021,7/16/2021,7/17/2021,7/18/2021,7/19/2021,7/20/2021,7/21/2021,7/22/2021,7/23/2021,7/24/2021,7/25/2021,7/26/2021,7/27/2021,7/28/2021,7/29/2021,7/30/2021,7/31/2021,8/1/2021,8/2/2021,8/3/2021,8/4/2021,8/5/2021,8/6/2021,8/7/2021,8/8/2021,8/9/2021,8/10/2021,8/11/2021,8/12/2021,8/13/2021,8/14/2021,8/15/2021,8/16/2021,8/17/2021,8/18/2021,8/19/2021,8/20/2021,8/21/2021,8/22/2021,8/23/2021,8/24/2021,8/25/2021,8/26/2021,8/27/2021,8/28/2021,8/29/2021,8/30/2021,8/31/2021,9/1/2021,9/2/2021,9/3/2021,9/4/2021,9/5/2021,9/6/2021,9/7/2021,9/8/2021,9/9/2021,9/10/2021,9/11/2021,9/12/2021,9/13/2021,9/14/2021,9/15/2021,9/16/2021,9/17/2021,9/18/2021,9/19/2021,9/20/2021,9/21/2021,9/22/2021,9/23/2021,9/24/2021,9/25/2021,9/26/2021,9/27/2021,9/28/2021,9/29/2021
COL,COLOMBO,4829,5118,5366,5923,6080,6340,6508,6722,6903,7226,7434,7673,7948,8228,8486,8698,8954,9199,9456,9771,10282,10592,10866,11077,11473,11883,12355,12643,12852,13292,13623,13868,14138,14405,14635,14945,15168,15429,15684,15785,16012,16197,16456,16702,16872,17113,17275,17476,17539,17803,17967,18050,18197,18425,18551,18733,18873,19030,19283,19481,19644,19794,20010,20253,20439,20670,20855,20984,21185,21377,21703,21838,22043,22300,22452,22707,23017,23211,23360,23570,23815,23974,24168,24386,24592,24798,24958,25175,25362,25605,25866,26064,26307,26527,26644,26754,26925,27085,27215,27323,27420,27525,27619,27683,27843,27908,27959,28072,28173,28239,28310,28392,28461,28488,28568,28614,28673,28716,28752,28779,28809,28882,28904,28991,29053,29155,29250,29276,29312,29340,29389,29472,29533,29589,29636,29695,29722,29750,29808,29867,29900,29963,29990,30037,30057,30083,30116,30164,30170,30316,30373,30373,30373,30426,30457,30495,30607,30689,30790,30866,30993,31095,31327,31578,31754,31893,32065,32504,32820,33203,33594,34235,34848,35425,35868,36399,36773,37130,38017,38429,39056,39626,40272,40862,41206,41589,41965,42247,43195,43844,44713,45662,46164,46415,46910,47353,48140,47554,47554,48303,48815,49187,49969,50759,51532,51935,52644,53088,53667,54065,54575,55316,55684,55991,56264,56794,57441,57932,58314,58741,59060,59380,59667,60023,60402,60630,60942,61147,61352,61559,61843,62063,62212,62412,62592,62714,62993,63234,63422,63605,63891,64137,64372,64714,65000,65274,65538,65851,66021,66419,66711,67273,67601,67806,68162,68639,69086,69473,70130,70704,71267,71928,72541,73373,74196,75120,75637,76324,77231,77742,78337,79176,79879,80807,81743,82644,83049,84332,85309,86972,87868,88952,89643,90813,92231,93355,94398,95431,96454,97663,98415,99240,99916,100549,101424,101996,102606,103231,103709,104145,104691,105152,105628,106046,106478,106973,107241,107543,107785,108109,108342,108572,108819,109023,109197,109334,109530,109693,109853,110023
GAM,GAMPAHA,4921,4943,4987,5050,5106,5141,5224,5303,5345,5391,5446,5486,5506,5603,5675,5746,5865,6042,6144,6190,6305,6361,6464,6521,6628,6737,6823,6962,7045,7173,7272,7377,7540,7627,7734,7804,7937,8011,8111,8183,8215,8322,8400,8511,8654,8785,8883,8947,9164,9249,9322,9439,9518,9581,9725,9821,9905,10013,10067,10121,10255,10429,10544,10608,10853,11013,11179,11329,11507,11617,11764,11857,12032,12160,12278,12392,12505,12694,12820,12956,13097,13286,13452,13552,13706,13774,13896,14112,14357,14592,14749,14894,15099,15239,15452,15529,15669,15813,15904,15956,16010,16146,16211,16284,16389,16501,16556,16651,16692,16715,16764,16820,16878,16920,16962,17039,17114,17139,17204,17228,17321,17361,17374,17439,17495,17531,17582,17653,17838,18079,18116,18146,18197,18232,18272,18290,18315,18335,18347,18384,18420,18451,18469,18473,18512,18519,18553,18573,18580,18623,18636,18636,18636,18648,18666,18683,18733,18769,18791,18843,18906,19027,19201,19359,19480,19654,19862,20093,20281,20575,20856,21223,21540,21872,22227,22493,22840,23171,23579,24195,24715,25267,25628,26053,26353,27050,27652,28306,28990,29427,30030,30534,31020,31469,31978,32453,32750,31854,31854,32207,32697,33035,33728,34146,34727,34990,35518,36004,36405,36992,37554,38054,38595,39156,39594,39864,40298,40746,41153,41720,42140,42410,42860,43334,43688,43976,44438,44730,45022,45378,45701,46197,46458,46807,47051,47142,47402,47592,47888,48091,48439,48732,49085,49333,49569,49899,50256,50489,50775,50987,51357,51644,51852,52649,52987,53372,53587,54050,54446,55343,56085,56525,56956,57443,57788,58239,58813,59245,59794,60412,60795,61202,61733,62593,64246,65228,66459,67295,67706,69469,69966,70545,71568,72427,73970,74515,75660,76574,77633,78708,79753,80404,81009,81968,82977,83967,84475,85928,86280,86436,87177,87386,87837,88042,88474,88992,89250,89644,89850,90146,90414,90532,90707,90852,91109,91295,91583,91694,91900,91974
PUT,PUTTALAM,93,94,99,101,101,102,105,110,110,110,111,112,112,121,129,129,130,147,154,155,195,201,202,223,281,288,291,319,319,323,342,360,371,373,375,376,389,391,398,400,404,404,405,416,442,443,445,448,450,450,450,450,451,452,452,453,454,479,481,483,496,505,505,527,539,543,563,566,568,595,599,605,615,633,645,648,657,663,681,727,747,769,775,782,804,812,819,822,843,855,870,885,946,957,959,985,1011,1037,1040,1041,1081,1095,1099,1116,1118,1131,1132,1137,1139,1140,1142,1144,1151,1152,1153,1165,1166,1169,1173,1175,1175,1183,1187,1190,1210,1211,1211,1214,1217,1218,1218,1218,1223,1227,1229,1234,1234,1236,1236,1238,1239,1244,1246,1252,1255,1255,1255,1261,1261,1279,1291,1291,1291,1304,1304,1311,1326,1348,1381,1389,1465,1488,1493,1516,1556,1565,1590,1627,1680,1704,1743,1776,1811,1842,1913,1984,1995,2017,2059,2152,2270,2329,2354,2382,2429,2494,2561,2577,2636,2735,2776,2820,3109,3207,3232,3278,3327,3787,3787,3873,3879,4033,4255,4367,4534,4683,4783,4930,5037,5159,5248,5252,5396,5567,5736,5868,5869,5961,6162,6249,6331,6334,6473,6475,6567,6636,6640,6726,6812,6812,7034,7034,7210,7311,7312,7414,7423,7424,7426,7540,7544,7554,7587,7589,7611,7638,7642,7668,7678,7711,7752,7756,7772,7807,7809,7824,7886,7888,7901,7910,7917,7947,8009,8098,8121,8138,8176,8224,8371,8475,8561,8605,8610,8614,8646,8837,8837,8949,9074,9160,9237,9387,9638,9828,9902,9942,10011,10183,10368,10514,10686,10697,10757,10802,10809,10866,10937,10975,10978,10983,11004,11015,11027,11037,11046,11058,11076,11102,11128,11130,11162,11224,11226,11229,11239,11248,11264,11266,11271,11274
KAL,KALUTARA,593,601,611,613,692,719,728,745,753,776,781,790,871,931,970,985,1021,1024,1037,1059,1162,1245,1294,1333,1339,1357,1487,1545,1616,1687,1855,1930,1976,2038,2153,2219,2316,2423,2524,2562,2638,2685,2713,2743,2810,2866,2904,2918,2962,2998,3030,3064,3090,3114,3142,3213,3226,3245,3259,3324,3365,3405,3453,3508,3569,3647,3717,3748,3763,3815,3850,3896,3916,3945,4090,4207,4242,4273,4321,4381,4467,4505,4563,4635,4675,4703,4739,4764,4838,4965,5059,5242,5358,5437,5567,5622,5674,5788,5829,5911,5966,5986,6003,6019,6043,6102,6127,6128,6152,6164,6211,6225,6259,6275,6296,6325,6338,6364,6381,6416,6430,6439,6463,6475,6499,6507,6526,6549,6562,6564,6574,6574,6584,6597,6611,6621,6634,6649,6651,6677,6687,6706,6719,6723,6734,6736,6742,6756,6763,6769,6781,6781,6781,6783,6784,6805,6815,6825,6846,6865,6902,6967,7008,7109,7189,7312,7393,7536,7836,7956,8308,8487,8636,8774,9131,9348,9704,9863,10231,10609,10784,11142,11451,11718,12129,12365,12535,12707,13024,13461,13698,13924,14322,14839,15155,15431,15814,18662,18662,19189,19688,20039,20590,20932,21609,22226,22512,22815,23082,23474,23790,24249,24709,24982,25309,25459,25663,25889,26173,26483,26620,26857,27041,27373,27697,27838,28100,28356,28612,28799,29007,29191,29366,29440,29605,29686,29740,29922,30018,30117,30275,30398,30534,30677,30843,30924,31116,31255,31361,31531,31638,31757,31863,31995,32197,32247,32452,32627,32823,33024,33300,33501,33882,34165,34325,34578,34931,35608,35863,36390,36641,36862,37331,37698,38436,38607,39042,39271,39518,40109,40574,40823,41026,41391,42067,42352,42549,42938,43332,43619,43820,44302,44569,44715,46350,46693,46852,47121,47308,47426,47594,47975,48082,48371,48581,48663,48938,49025,49347,49516,49699,49825,49955,50003,50155,50242,50318,50346,50477,50535
ANU,ANURADHAPURA,29,31,32,71,71,74,75,77,77,78,80,81,82,82,82,84,84,85,85,85,88,88,89,90,92,98,98,99,100,101,104,107,107,110,110,110,110,110,111,115,115,116,122,128,133,136,138,139,139,140,140,147,147,148,151,153,155,158,159,161,166,167,170,170,173,173,174,181,182,184,197,202,205,208,211,211,213,215,215,215,243,254,257,266,268,279,280,280,331,332,359,360,367,382,385,402,428,428,431,435,437,449,462,470,471,472,477,480,501,501,511,513,514,527,536,536,541,541,546,550,550,551,565,567,567,567,571,572,579,579,582,582,583,584,611,617,622,622,625,625,631,631,636,636,652,652,654,654,654,655,655,655,655,655,655,656,660,667,678,679,686,687,707,707,708,720,726,731,733,737,742,797,840,900,931,939,957,958,988,1028,1057,1074,1114,1119,1121,1141,1224,1300,1376,1415,1416,1420,1343,1415,1417,1425,1444,1827,1827,1883,1940,2018,2029,2062,2084,2104,2143,2154,2248,2277,2316,2316,2336,2339,2362,2365,2389,2393,2395,2399,2421,2431,2448,2486,2509,2531,2536,2544,2552,2559,2583,2610,2625,2647,2707,2729,2736,2880,2901,3039,3056,3084,3106,3122,3125,3162,3166,3196,3248,3283,3350,3370,3399,3400,3426,3463,3504,3516,3535,3546,3569,3592,3678,3687,3724,3767,3772,3788,3793,3814,3917,3964,4022,4097,4216,4263,4297,4365,4499,4635,4651,4686,4701,4738,4821,5042,5350,5599,5720,6327,6537,6842,6992,7162,7509,7576,7729,7935,8153,8316,8437,8632,8824,8922,9045,9167,9244,9370,9476,9544,9572,9727,9732,9754,9785,9796,9814,9835,9841,9861
KAN,KANDY,144,224,248,248,250,254,258,277,289,296,303,309,325,335,338,374,374,375,411,450,452,502,505,706,709,738,739,802,860,861,873,923,945,956,966,1041,1051,1094,1098,1116,1119,1122,1160,1163,1164,1215,1258,1284,1315,1375,1403,1434,1472,1495,1516,1528,1592,1635,1725,1731,1760,1762,1853,1900,1913,1959,1999,2008,2016,2090,2137,2165,2220,2321,2352,2359,2367,2395,2427,2442,2497,2644,2660,2688,2725,2800,2815,2902,2970,2978,3001,3086,3108,3279,3326,3464,3573,3611,3694,3705,3757,3779,3815,3840,3843,3857,3899,3906,3932,3938,3946,3960,4005,4012,4021,4040,4049,4058,4072,4090,4100,4104,4108,4112,4114,4116,4130,4132,4158,4159,4165,4169,4178,4180,4183,4187,4192,4194,4198,4200,4203,4206,4207,4212,4215,4224,4224,4242,4246,4253,4260,4260,4260,4263,4275,4276,4277,4284,4304,4307,4312,4325,4334,4364,4373,4446,4503,4598,4669,4746,4836,4842,4910,4989,5076,5172,5262,5379,5398,5468,5577,5685,5829,5916,6014,6042,6068,6118,6193,6326,6515,6631,6767,6819,6877,7093,7295,8960,8960,9234,9334,9610,9681,9796,10180,10254,10377,10704,10851,11090,11246,11406,11530,11763,11949,12123,12320,12527,12643,12710,12955,13023,13332,13441,13579,13628,13658,13694,13730,13891,13917,14053,14162,14216,14267,14281,14301,14321,14412,14475,14537,14582,14598,14622,14662,14710,14742,14769,14811,14837,14872,14901,14935,14974,15037,15098,15130,15178,15191,15260,15327,15400,15453,15559,15692,15773,15915,16046,16158,16189,16356,16577,16790,16955,17062,17253,17371,17729,17933,18064,18344,18546,18791,18890,19090,19413,19656,20130,20535,20830,21017,21323,21561,21830,22024,22173,22380,22522,22699,22802,22952,23075,23178,23430,23568,23699,23813,23947,24008,24111,24189,24243,24343,24433,24501,24563,24641,24710,24782,24854
KUR,KURUNEGALA,238,241,245,248,250,261,262,270,272,288,295,298,299,300,304,318,320,327,329,331,335,350,366,369,370,372,384,392,410,417,438,461,476,481,491,498,511,514,523,526,530,532,565,568,572,578,599,599,629,631,639,672,674,678,680,710,715,718,719,724,739,755,767,778,785,811,821,870,876,887,918,924,964,979,1013,1017,1148,1162,1191,1270,1318,1329,1373,1435,1470,1530,1558,1566,1613,1654,1734,1823,1974,1911,1957,2022,2040,2071,2077,2096,2108,2131,2160,2170,2194,2229,2233,2294,2316,2353,2399,2400,2401,2412,2431,2437,2447,2452,2461,2473,2477,2486,2494,2495,2499,2509,2519,2522,2523,2531,2548,2553,2572,2574,2580,2590,2593,2599,2602,2606,2614,2616,2640,2646,2647,2662,2662,2672,2694,2750,2777,2777,2777,2844,2878,2892,2953,3129,3158,3221,3312,3504,3757,3869,3977,4107,4312,4409,4614,4707,4832,4940,5020,5171,5235,5416,5659,5708,5857,6067,6306,6393,6518,6670,6901,7077,7132,7338,7605,7809,8189,8358,8516,8718,9007,9055,9138,9807,9807,9899,10166,10397,10445,10478,10577,10862,11216,11272,11371,11498,11766,11885,11938,12033,12103,12319,12389,12529,12619,12646,12765,12931,12956,13050,13090,13140,13194,13224,13254,13305,13320,13413,13456,13469,13555,13570,13578,13611,13685,13712,13746,13845,13856,13862,13891,13914,13949,13975,14048,14076,14090,14139,14190,14224,14291,14335,14364,14418,14473,14535,14576,14607,14823,14880,14955,15004,15110,15208,15247,15374,15442,15500,15550,15635,15667,15731,15776,16006,16074,16201,16290,16359,16599,16735,16899,17029,17193,17274,17316,17434,17608,17737,17894,17936,18021,18101,18195,18381,18435,18469,18511,18532,18607,18651,18679,18755,18789,18822,18834,18865,18883,18916,18969,18990,19008,19026,19079,19107,19113,19127
POL,POLONNARUWA,16,17,17,17,17,17,17,17,17,22,22,23,23,23,23,23,23,23,23,23,25,26,26,27,27,28,28,30,30,31,31,31,31,34,39,39,40,40,40,41,43,43,44,45,46,46,48,50,50,50,52,64,65,65,69,70,72,74,76,80,86,88,99,99,104,112,112,114,114,141,142,144,145,146,147,147,148,149,149,161,163,165,179,179,180,180,181,181,181,182,182,182,190,192,192,195,202,202,202,203,203,206,207,209,209,209,210,210,212,212,213,213,214,217,217,222,225,225,228,229,229,229,231,231,231,231,232,232,234,234,234,234,234,235,237,237,237,237,239,239,239,239,239,239,239,239,240,240,240,243,243,243,243,245,245,245,246,246,255,256,256,256,258,258,259,260,263,265,320,324,331,338,353,388,446,447,458,459,496,542,544,554,559,559,561,566,616,619,630,669,687,702,623,635,647,647,657,1381,1381,1402,1426,1453,1463,1469,1506,1532,1565,1593,1705,1756,1778,1807,1817,1855,1904,1952,1978,2037,2091,2125,2147,2271,2307,2318,2320,2375,2401,2403,2405,2452,2493,2537,2612,2618,2695,2709,2723,2726,2760,2781,2816,2878,2894,2907,2909,2929,2933,2934,2953,2973,2981,2991,3045,3049,3071,3091,3095,3120,3134,3149,3180,3181,3203,3236,3270,3276,3324,3329,3367,3394,3452,3499,3505,3513,3551,3563,3575,3647,3745,3753,3831,3897,4006,4153,4604,4711,4801,4823,4895,5596,5667,5730,5965,6019,6467,6668,6855,7153,7182,7397,7399,7530,7661,7714,7737,7887,7966,8005,8140,8187,8264,8337,8382,8407,8458,8521,8578,8650,8671,8681
JAF,JAFFNA,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,27,27,30,30,30,30,30,32,37,37,69,70,83,85,87,93,101,106,109,109,111,119,121,121,121,122,122,130,143,146,146,146,152,154,154,157,164,166,166,166,166,166,166,166,166,166,169,169,174,181,181,182,182,184,187,189,192,192,192,193,196,202,204,204,204,204,204,205,206,206,210,217,219,221,223,229,230,230,238,238,242,244,261,266,267,320,326,327,339,346,346,346,355,355,361,383,394,397,416,416,420,436,437,440,445,453,459,461,461,475,496,529,607,612,721,767,788,797,818,846,848,855,867,882,900,976,1117,1159,1185,1227,1227,1227,1243,1276,1281,1312,1325,1332,1339,1354,1370,1377,1392,1397,1398,1413,1426,1441,1441,1450,1457,1469,1492,1525,1545,1562,1575,1594,1646,1649,1720,1801,1843,1886,1889,1916,1992,2077,2130,2217,2335,2375,2426,2447,2450,2451,2631,2631,2674,2695,2779,2829,2919,2955,3074,3104,3162,3215,3265,3313,3344,3417,3457,3543,3566,3604,3674,3773,3785,3959,4024,4077,4138,4195,4258,4273,4390,4507,4557,4570,4645,4669,4718,4734,4758,4776,4823,4843,4891,4903,4927,4949,4961,5000,5016,5039,5153,5210,5230,5239,5264,5294,5296,5310,5339,5370,5389,5422,5461,5549,5575,5622,5663,5740,5803,5898,5976,6036,6124,6261,6361,6501,6520,6701,6793,6827,7053,7143,7278,7443,7514,7558,7629,7801,7943,8035,8119,8218,8475,8492,8654,8725,8795,8957,9029,9184,9743,9791,9940,10000,10143,10256,10361,10390,10943,11112,11240,11422,11485,11531,11568,11594,11679,11689,11736,11800,11827,11852,11864
RAT,RATNAPURA,104,124,124,124,125,126,127,133,133,138,138,141,141,143,143,150,151,151,187,204,205,239,242,258,261,275,297,315,332,334,344,377,383,386,398,426,434,449,458,460,464,492,513,540,563,567,589,607,642,652,676,728,741,765,784,797,811,824,828,882,900,905,908,948,970,984,1004,1005,1045,1047,1080,1081,1108,1110,1126,1193,1194,1200,1206,1262,1276,1280,1283,1287,1296,1300,1348,1373,1374,1426,1457,1468,1511,1545,1549,1633,1661,1721,1726,1776,1813,1849,1888,1936,1966,1979,2051,2075,2086,2149,2160,2237,2286,2353,2402,2424,2425,2448,2507,2554,2590,2608,2640,2652,2672,2679,2710,2740,2758,2758,2776,2786,2797,2810,2841,2841,2861,2866,2866,2890,2892,2903,2921,2931,2931,2964,2981,2993,2995,2996,3032,3032,3032,3039,3040,3047,3062,3069,3070,3076,3084,3098,3098,3130,3148,3152,3158,3175,3208,3214,3313,3321,3365,3372,3402,3481,3570,3908,4069,4137,4174,4284,4330,4368,4385,4535,4722,4753,4898,5033,5225,5243,6101,6334,6479,6535,6544,7542,7542,7603,7740,7856,8089,8427,8610,8793,8881,8998,9118,9155,9197,9281,9373,9431,9465,9660,9957,10058,10226,10299,10365,10460,10641,10723,10802,10901,10983,11078,11173,11307,11395,11508,11571,11594,11735,11764,11795,11841,11933,12099,12235,12483,12557,12651,12854,12949,13045,13104,13218,13463,13508,13664,13948,14159,14231,14332,14401,14528,14615,14673,14841,14963,15043,15125,15290,15390,15539,15679,15834,15919,16125,16355,16457,16526,17405,17540,17712,18671,18772,20219,20426,20571,20804,21158,22251,22541,22660,22812,22996,23825,24037,24152,24350,24746,25404,25696,25787,25797,26203,26597,26644,26907,26991,27348,27429,27927,28342,28695,28982,29194,29479,29734,29878,29974,30002,30135,30174,30341,30475,30657
