date,COLOMBO,GAMPAHA,PUTTALAM,KALUTARA,ANURADHAPURA,KANDY,KURUNEGALA,POLONNARUWA,JAFFNA,RATNAPURA,KEGALLE,MONERAGALA,KALMUNAI,MATALE,GALLE,AMPARA,BADULLA,MATARA,BATTICOLOA,HAMBANTOTA,VAVUNIA,TRINCOMALEE,NUWARAELIYA,KILINOCHCHI,MANNAR,MULLATIVU
11/14/2020,4829,4921,93,593,29,144,238,16,24,104,170,12,2,28,123,22,32,26,63,20,14,10,47,3,10,1
11/15/2020,5118,4943,94,601,31,224,241,17,24,124,174,14,2,29,129,22,34,26,69,21,14,11,47,3,10,1
11/16/2020,5366,4987,99,611,32,248,245,17,25,124,175,14,2,29,174,23,34,26,70,21,14,11,47,3,10,1
11/17/2020,5923,5050,101,613,71,248,248,17,25,124,178,14,2,30,178,23,37,27,70,22,15,12,47,3,10,1
11/18/2020,6080,5106,101,692,71,250,250,17,25,125,191,14,2,30,183,26,42,27,75,22,15,12,48,3,10,1
11/19/2020,6340,5141,102,719,74,254,261,17,25,126,192,14,2,30,188,26,42,28,75,22,15,12,49,3,10,1
11/20/2020,6508,5224,105,728,75,258,262,17,25,127,192,14,2,30,191,27,43,30,75,22,15,12,50,3,10,1
11/21/2020,6722,5303,110,745,77,277,270,17,25,133,192,15,3,30,192,27,44,30,77,23,15,12,54,3,10,1
11/22/2020,6903,5345,110,753,77,289,272,17,25,133,192,15,3,30,208,27,44,31,78,23,15,13,56,3,10,1
11/23/2020,7226,5391,110,776,78,296,288,22,25,138,194,16,4,31,210,27,47,34,78,23,15,14,63,5,10,1
11/24/2020,7434,5446,111,781,80,303,295,22,25,138,194,16,4,31,210,27,47,35,78,23,15,14,72,5,10,1
11/25/2020,7673,5486,112,790,81,309,298,23,25,141,194,16,4,31,210,27,50,35,78,23,15,14,78,5,10,1
11/26/2020,7948,5506,112,871,82,325,299,23,25,141,194,16,4,31,214,27,50,36,78,23,15,14,94,5,10,1
11/27/2020,8228,5603,121,931,82,335,300,23,25,143,195,16,4,31,215,27,55,36,78,23,15,14,101,5,10,1
11/28/2020,8486,5675,129,970,82,338,304,23,25,143,198,16,18,36,215,28,58,37,81,24,15,14,118,5,10,1
11/29/2020,8698,5746,129,985,84,374,318,23,25,150,203,17,40,37,215,28,58,37,81,24,15,14,118,10,10,1
11/30/2020,8954,5865,130,1021,84,374,320,23,26,151,205,17,47,38,217,28,58,47,81,24,15,15,125,10,10,1
12/1/2020,9199,6042,147,1024,85,375,327,23,26,151,207,17,54,41,219,30,62,50,81,24,15,16,129,11,10,1
12/2/2020,9456,6144,154,1037,85,411,329,23,26,187,208,17,68,44,219,30,66,51,81,24,15,17,132,12,14,1
12/3/2020,9771,6190,155,1059,85,450,331,23,26,204,211,17,89,45,226,30,88,53,82,24,15,17,145,12,14,1
12/4/2020,10282,6305,195,1162,88,452,335,25,26,205,215,17,119,45,229,30,91,55,90,24,16,17,160,12,14,1
12/5/2020,10592,6361,201,1245,88,502,350,26,27,239,217,19,155,46,241,30,91,55,90,25,16,17,161,12,14,1
12/6/2020,10866,6464,202,1294,89,505,366,26,27,242,224,19,173,46,246,30,91,58,93,26,17,17,170,13,14,1
12/7/2020,11077,6521,223,1333,90,706,369,27,30,258,228,20,197,47,264,31,117,68,93,26,17,17,189,13,14,1
12/8/2020,11473,6628,281,1339,92,709,370,27,30,261,228,21,202,47,280,31,121,69,94,26,17,19,216,14,14,1
12/9/2020,11883,6737,288,1357,98,738,372,28,30,275,231,22,249,48,287,31,121,69,95,74,17,19,216,14,14,1
12/10/2020,12355,6823,291,1487,98,739,384,28,30,297,236,22,298,54,294,32,121,69,96,74,17,22,216,14,14,1
12/11/2020,12643,6962,319,1545,99,802,392,30,30,315,236,23,312,55,306,32,129,89,97,75,17,22,219,14,14,1
12/12/2020,12852,7045,319,1616,100,860,410,30,32,332,237,23,323,58,308,36,129,95,97,75,17,27,224,14,14,1
12/13/2020,13292,7173,323,1687,101,861,417,31,37,334,238,24,341,58,335,36,131,99,97,75,19,27,237,14,14,1
12/14/2020,13623,7272,342,1855,104,873,438,31,37,344,241,31,363,66,348,36,143,121,98,77,19,27,243,14,14,1
12/15/2020,13868,7377,360,1930,107,923,461,31,69,377,243,36,393,66,348,36,146,126,98,77,19,28,249,14,14,3
12/16/2020,14138,7540,371,1976,107,945,476,31,70,383,249,52,422,72,380,36,148,126,99,79,23,28,296,14,14,3
12/17/2020,14405,7627,373,2038,110,956,481,34,83,386,254,64,464,74,409,37,151,134,99,79,23,28,301,14,14,3
12/18/2020,14635,7734,375,2153,110,966,491,39,85,398,261,64,495,74,413,37,158,153,100,87,23,28,313,14,14,3
12/19/2020,14945,7804,376,2219,110,1041,498,39,87,426,270,78,520,74,421,37,160,168,100,87,23,29,318,14,14,3
12/20/2020,15168,7937,389,2316,110,1051,511,40,93,434,275,81,570,79,428,37,162,192,102,87,27,30,320,14,14,3
12/21/2020,15429,8011,391,2423,110,1094,514,40,101,449,298,88,570,80,475,38,164,194,102,88,28,31,322,14,14,3
12/22/2020,15684,8111,398,2524,111,1098,523,40,106,458,325,88,580,80,487,39,164,215,102,97,30,33,323,14,14,3
12/23/2020,15785,8183,400,2562,115,1116,526,41,109,460,327,88,594,86,499,39,164,221,103,97,30,50,352,14,14,3
12/24/2020,16012,8215,404,2638,115,1119,530,43,109,464,327,88,595,86,509,39,164,232,105,97,31,61,352,14,14,4
12/25/2020,16197,8322,404,2685,116,1122,532,43,111,492,366,89,603,87,528,40,165,256,107,100,32,61,364,16,14,4
12/26/2020,16456,8400,405,2713,122,1160,565,44,119,513,379,95,644,88,536,40,165,256,111,104,32,61,383,17,14,4
12/27/2020,16702,8511,416,2743,128,1163,568,45,121,540,401,113,652,89,538,40,168,268,115,105,32,61,385,17,14,4
12/28/2020,16872,8654,442,2810,133,1164,572,46,121,563,475,114,679,89,552,40,171,268,116,107,32,69,387,17,14,4
12/29/2020,17113,8785,443,2866,136,1215,578,46,121,567,482,114,700,90,564,40,171,290,116,109,32,76,421,17,14,5
12/30/2020,17275,8883,445,2904,138,1258,599,48,122,589,501,115,700,91,576,40,172,298,119,113,32,77,456,17,14,5
12/31/2020,17476,8947,448,2918,139,1284,599,50,122,607,503,119,700,93,594,41,177,322,121,114,32,85,485,17,14,5
1/1/2021,17539,9164,450,2962,139,1315,629,50,130,642,556,123,713,109,626,41,180,323,121,114,32,91,511,17,14,5
1/2/2021,17803,9249,450,2998,140,1375,631,50,143,652,570,123,731,114,628,41,181,323,128,116,32,91,535,17,14,6
1/3/2021,17967,9322,450,3030,140,1403,639,52,146,676,617,125,736,116,664,41,183,349,156,120,32,97,541,17,14,6
1/4/2021,18050,9439,450,3064,147,1434,672,64,146,728,619,127,764,124,672,42,188,374,156,139,32,97,550,17,14,6
1/5/2021,18197,9518,451,3090,147,1472,674,65,146,741,641,127,771,128,675,42,191,376,161,144,32,104,554,19,14,6
1/6/2021,18425,9581,452,3114,148,1495,678,65,152,765,650,133,780,130,699,42,192,376,170,158,33,104,567,19,14,6
1/7/2021,18551,9725,452,3142,151,1516,680,69,154,784,655,133,805,146,701,47,195,403,180,163,38,117,567,20,19,6
1/8/2021,18733,9821,453,3213,153,1528,710,70,154,797,685,133,808,146,726,51,195,407,186,166,38,140,567,20,19,6
1/9/2021,18873,9905,454,3226,155,1592,715,72,157,811,706,137,834,148,769,59,195,422,191,172,38,141,567,27,19,6
1/10/2021,19030,10013,479,3245,158,1635,718,74,164,824,718,137,836,160,780,65,200,425,211,174,93,141,574,27,21,6
1/11/2021,19283,10067,481,3259,159,1725,719,76,166,828,723,140,843,165,798,65,201,456,211,189,93,152,574,27,21,7
1/12/2021,19481,10121,483,3324,161,1731,724,80,166,882,767,141,848,169,826,67,201,457,211,201,93,158,595,27,23,7
1/13/2021,19644,10255,496,3365,166,1760,739,86,166,900,786,152,869,176,840,74,210,458,228,202,102,175,599,27,23,7
1/14/2021,19794,10429,505,3405,167,1762,755,88,166,905,820,153,883,183,863,74,210,468,228,203,155,182,608,30,25,9
1/15/2021,20010,10544,505,3453,170,1853,767,99,166,908,836,154,907,216,873,79,211,481,238,204,171,196,609,30,29,10
1/16/2021,20253,10608,527,3508,170,1900,778,99,166,948,844,165,916,220,929,84,214,498,238,205,174,208,610,30,33,12
1/17/2021,20439,10853,539,3569,173,1913,785,104,166,970,878,176,917,220,951,84,222,501,240,213,195,210,616,30,33,12
1/18/2021,20670,11013,543,3647,173,1959,811,112,166,984,895,179,920,254,961,89,231,503,242,215,197,235,626,30,34,12
1/19/2021,20855,11179,563,3717,174,1999,821,112,166,1004,899,184,926,268,985,92,239,538,255,220,233,237,646,32,49,12
1/20/2021,20984,11329,566,3748,181,2008,870,114,169,1005,908,201,931,268,1012,92,254,553,265,255,240,285,657,32,51,12
1/21/2021,21185,11507,568,3763,182,2016,876,114,169,1045,932,204,949,284,1046,104,260,577,273,258,260,319,657,32,51,12
1/22/2021,21377,11617,595,3815,184,2090,887,141,174,1047,944,206,953,306,1098,106,263,640,278,262,285,333,657,32,76,13
1/23/2021,21703,11764,599,3850,197,2137,918,142,181,1080,946,210,976,356,1150,108,275,646,284,278,285,334,657,34,76,14
1/24/2021,21838,11857,605,3896,202,2165,924,144,181,1081,955,226,1017,361,1180,110,280,697,291,289,305,346,680,34,86,14
1/25/2021,22043,12032,615,3916,205,2220,964,145,182,1108,978,235,1026,371,1189,113,285,754,296,307,311,346,685,34,109,14
1/26/2021,22300,12160,633,3945,208,2321,979,146,182,1110,1012,239,1037,410,1219,115,298,766,311,312,314,359,686,34,111,15
1/27/2021,22452,12278,645,4090,211,2352,1013,147,184,1126,1028,244,1057,428,1273,117,304,779,318,318,314,367,700,34,111,15
1/28/2021,22707,12392,648,4207,211,2359,1017,147,187,1193,1034,246,1061,473,1312,118,320,803,321,319,314,369,702,35,111,15
1/29/2021,23017,12505,657,4242,213,2367,1148,148,189,1194,1040,248,1065,476,1323,125,323,817,324,332,315,377,703,35,126,15
1/30/2021,23211,12694,663,4273,215,2395,1162,149,192,1200,1054,254,1070,478,1329,125,342,851,332,333,317,378,742,35,136,15
1/31/2021,23360,12820,681,4321,215,2427,1191,149,192,1206,1067,255,1072,486,1357,139,342,853,332,333,317,404,742,35,136,15
2/1/2021,23570,12956,727,4381,215,2442,1270,161,192,1262,1109,256,1074,498,1393,139,366,883,333,341,319,405,769,35,148,16
2/2/2021,23815,13097,747,4467,243,2497,1318,163,193,1276,1114,259,1085,519,1407,140,374,901,335,353,325,405,770,35,148,16
2/3/2021,23974,13286,769,4505,254,2644,1329,165,196,1280,1131,269,1093,543,1437,142,418,901,342,369,326,406,788,36,150,16
2/4/2021,24168,13452,775,4563,257,2660,1373,179,202,1283,1146,275,1101,547,1483,150,458,914,343,376,328,409,808,36,150,16
2/5/2021,24386,13552,782,4635,266,2688,1435,179,204,1287,1156,277,1101,550,1520,152,504,947,348,380,329,409,835,37,151,17
2/6/2021,24592,13706,804,4675,268,2725,1470,180,204,1296,1177,280,1104,567,1572,154,517,973,353,411,329,409,837,38,151,17
2/7/2021,24798,13774,812,4703,279,2800,1530,180,204,1300,1186,287,1130,576,1587,158,617,997,356,415,333,420,855,38,164,17
2/8/2021,24958,13896,819,4739,280,2815,1558,181,204,1348,1194,292,1130,590,1605,172,725,1080,356,460,333,420,855,38,164,17
2/9/2021,25175,14112,822,4764,280,2902,1566,181,204,1373,1199,295,1132,598,1619,174,824,1096,363,466,336,420,869,38,164,17
2/10/2021,25362,14357,843,4838,331,2970,1613,181,205,1374,1204,296,1132,606,1664,174,908,1102,364,468,339,420,869,40,175,17
2/11/2021,25605,14592,855,4965,332,2978,1654,182,206,1426,1213,315,1139,615,1717,204,938,1139,368,488,339,423,882,41,175,17
2/12/2021,25866,14749,870,5059,359,3001,1734,182,206,1457,1253,317,1143,640,1735,206,944,1190,371,489,342,435,909,44,175,17
2/13/2021,26064,14894,885,5242,360,3086,1823,182,210,1468,1270,320,1153,644,1759,206,948,1255,396,489,344,435,911,53,188,17
2/14/2021,26307,15099,946,5358,367,3108,1974,190,217,1511,1276,321,1164,644,1781,208,965,1287,398,496,354,437,911,54,191,18
2/15/2021,26527,15239,957,5437,382,3279,1911,192,219,1545,1280,336,1169,648,1785,209,975,1293,399,511,354,438,913,55,191,18
2/16/2021,26644,15452,959,5567,385,3326,1957,192,221,1549,1298,337,1178,667,1814,223,989,1322,399,511,355,453,963,76,193,20
2/17/2021,26754,15529,985,5622,402,3464,2022,195,223,1633,1305,338,1181,671,1835,223,993,1340,426,538,356,454,969,77,198,20
2/18/2021,26925,15669,1011,5674,428,3573,2040,202,229,1661,1315,345,1183,702,1852,227,1060,1346,426,539,356,463,970,80,198,20
2/19/2021,27085,15813,1037,5788,428,3611,2071,202,230,1721,1327,346,1192,719,1864,227,1075,1358,427,539,356,464,974,88,198,20
2/20/2021,27215,15904,1040,5829,431,3694,2077,202,230,1726,1334,347,1193,730,1875,233,1129,1359,436,539,358,464,981,92,199,20
2/21/2021,27323,15956,1041,5911,435,3705,2096,203,238,1776,1355,347,1196,770,1883,244,1151,1382,441,542,358,464,991,99,199,20
2/22/2021,27420,16010,1081,5966,437,3757,2108,203,238,1813,1364,353,1201,788,1898,254,1166,1396,449,549,358,471,1030,100,200,20
2/23/2021,27525,16146,1095,5986,449,3779,2131,206,242,1849,1372,355,1201,796,1921,262,1189,1447,450,549,358,471,1031,101,200,23
2/24/2021,27619,16211,1099,6003,462,3815,2160,207,244,1888,1379,364,1210,804,1937,269,1204,1473,456,567,358,471,1082,106,201,24
2/25/2021,27683,16284,1116,6019,470,3840,2170,209,261,1936,1397,403,1210,818,1947,272,1245,1494,458,584,358,475,1082,106,226,24
2/26/2021,27843,16389,1118,6043,471,3843,2194,209,266,1966,1406,404,1218,825,1961,276,1245,1497,467,587,358,475,1105,106,226,26
2/27/2021,27908,16501,1131,6102,472,3857,2229,209,267,1979,1425,413,1220,850,1977,276,1265,1511,469,587,358,475,1137,107,226,26
2/28/2021,27959,16556,1132,6127,477,3899,2233,210,320,2051,1433,447,1222,859,1994,278,1266,1511,470,592,358,475,1138,107,226,26
3/1/2021,28072,16651,1137,6128,480,3906,2294,210,326,2075,1436,447,1222,866,2013,280,1277,1541,471,596,361,477,1141,107,227,26
3/2/2021,28173,16692,1139,6152,501,3932,2316,212,327,2086,1439,447,1222,875,2037,281,1277,1541,473,597,361,477,1180,108,227,26
3/3/2021,28239,16715,1140,6164,501,3938,2353,212,339,2149,1441,447,1229,877,2052,287,1290,1542,494,602,362,478,1181,108,231,26
3/4/2021,28310,16764,1142,6211,511,3946,2399,213,346,2160,1446,450,1230,880,2073,291,1294,1548,495,602,362,478,1181,110,231,26
3/5/2021,28392,16820,1144,6225,513,3960,2400,213,346,2237,1461,454,1235,900,2092,292,1297,1570,498,605,362,478,1181,111,231,26
3/6/2021,28461,16878,1151,6259,514,4005,2401,214,346,2286,1472,455,1238,911,2103,292,1306,1571,498,606,362,478,1199,111,232,26
3/7/2021,28488,16920,1152,6275,527,4012,2412,217,355,2353,1523,456,1246,913,2111,292,1310,1588,498,606,362,478,1215,111,246,26
3/8/2021,28568,16962,1153,6296,536,4021,2431,217,355,2402,1540,463,1247,920,2116,292,1342,1592,514,612,362,484,1219,115,248,26
3/9/2021,28614,17039,1165,6325,536,4040,2437,222,361,2424,1563,476,1249,927,2142,294,1344,1592,518,614,362,484,1225,115,248,27
3/10/2021,28673,17114,1166,6338,541,4049,2447,225,383,2425,1585,477,1252,930,2171,294,1352,1593,526,625,362,484,1232,115,248,28
3/11/2021,28716,17139,1169,6364,541,4058,2452,225,394,2448,1593,498,1253,942,2188,296,1361,1600,528,625,362,484,1236,115,265,28
3/12/2021,28752,17204,1173,6381,546,4072,2461,228,397,2507,1623,498,1256,951,2200,297,1363,1610,533,627,368,484,1236,115,266,28
3/13/2021,28779,17228,1175,6416,550,4090,2473,229,416,2554,1634,511,1263,953,2234,297,1367,1611,538,628,382,485,1236,118,266,28
3/14/2021,28809,17321,1175,6430,550,4100,2477,229,416,2590,1643,513,1263,956,2286,297,1374,1613,543,630,385,494,1245,118,266,28
3/15/2021,28882,17361,1183,6439,551,4104,2486,229,420,2608,1646,528,1263,956,2316,299,1380,1643,545,639,385,504,1246,120,268,30
3/16/2021,28904,17374,1187,6463,565,4108,2494,231,436,2640,1647,528,1271,979,2316,299,1393,1700,545,640,386,504,1247,121,268,31
3/17/2021,28991,17439,1190,6475,567,4112,2495,231,437,2652,1648,530,1272,981,2338,299,1397,1701,549,647,386,504,1249,121,274,31
3/18/2021,29053,17495,1210,6499,567,4114,2499,231,440,2672,1654,539,1275,987,2358,299,1406,1706,556,647,386,504,1254,123,274,31
3/19/2021,29155,17531,1211,6507,567,4116,2509,231,445,2679,1655,541,1276,990,2379,300,1430,1712,557,652,387,504,1270,124,274,34
3/20/2021,29250,17582,1211,6526,571,4130,2519,232,453,2710,1656,544,1277,1002,2384,302,1436,1722,567,657,394,504,1273,124,274,34
3/21/2021,29276,17653,1214,6549,572,4132,2522,232,459,2740,1658,554,1279,1016,2416,302,1455,1730,570,657,402,506,1288,125,274,35
3/22/2021,29312,17838,1217,6562,579,4158,2523,234,461,2758,1663,568,1280,1020,2420,302,1468,1731,573,657,402,506,1289,125,274,36
3/23/2021,29340,18079,1218,6564,579,4159,2531,234,461,2758,1665,568,1284,1023,2427,302,1474,1736,573,661,402,524,1298,125,274,36
3/24/2021,29389,18116,1218,6574,582,4165,2548,234,475,2776,1667,576,1287,1029,2445,305,1476,1742,582,667,405,527,1321,125,278,36
3/25/2021,29472,18146,1218,6574,582,4169,2553,234,496,2786,1670,589,1287,1029,2450,305,1500,1743,584,686,407,527,1322,126,279,36
3/26/2021,29533,18197,1223,6584,583,4178,2572,234,529,2797,1673,589,1288,1033,2451,305,1502,1743,585,690,409,528,1323,130,279,41
