Code,Name,Total (2015),Male (2015),Female (2015),Total (2016),Male (2016),Female (2016),Total (2017),Male (2017),Female (2017),Land Area,Lat,Lon
AMP,Ampara,674,326,348,691,334,357,705,341,364,4222,7.308193,81.72643
ANU,Anuradhapura,896,437,459,905,442,463,918,448,470,6664,8.37553,80.538825
BAD,Badulla,846,407,439,854,410,444,864,415,449,2827,7.030044,81.045017
BAT,Batticaloa,541,258,283,550,262,288,560,267,293,2610,7.744921,81.6454
COL,Colombo,2367,1161,1206,2395,1175,1220,2419,1187,1232,676,6.795784,79.943894
GAL,Galle,1092,524,568,1102,528,574,1113,534,579,1617,6.224872,80.205385
GAM,Gampaha,2355,1141,1214,2372,1149,1223,2391,1159,1232,1341,7.160251,79.873169
HAM,Hambantota,625,307,318,637,313,324,647,318,329,2496,6.245338,81.197912
JAF,Jaffna,596,280,316,602,283,319,608,285,323,929,9.544749,80.176978
KAL,Kalutara,1252,606,646,1261,610,651,1271,615,656,1576,6.517721,80.036215
KAN,Kandy,1417,676,741,1434,684,750,1452,692,760,1917,7.223634,80.678546
KEG,Kegalle,863,411,452,869,414,455,877,418,459,1685,7.067504,80.350679
KIL,Kilinochchi,119,58,61,122,60,62,124,61,63,1205,9.416667,80.416667
KUR,Kurunegala,1661,798,863,1676,805,871,1694,813,881,4624,7.753101,80.233358
MAN,Mannar,103,52,51,106,53,53,107,54,53,1880,8.866667,80.066667
MON,Monaragala,475,236,239,479,238,241,485,241,244,5508,6.836673,81.225155
MTL,Matale,501,242,259,508,245,263,514,248,266,1952,7.722172,80.75143
MTR,Matara,840,402,438,845,405,440,851,408,443,1270,6.016696,80.634509
MUL,Mullaitivu,96,48,48,95,47,48,96,48,48,2415,9.233333,80.533333
NUW,Nuwara eliya,741,354,387,748,358,390,756,362,394,1706,6.975935,80.688102
POL,Polonnaruwa,422,209,213,425,210,215,431,213,218,3077,7.992071,81.054403
PUT,Puttalam,786,380,406,801,388,413,814,394,420,2882,8.239226,79.785949
RAT,Ratnapura,1125,555,570,1140,562,578,1151,567,584,3236,6.619738,80.571751
TRI,Trincomalee,396,196,200,404,200,204,412,203,209,2529,8.651352,81.161676
VAN,Vavuniya,181,89,92,182,90,92,184,91,93,1861,9.051976,80.205332
