,AMP,ANU,BAD,BAT,COL,GAL,GAM,HAM,JAF,KAL,KAN,KEG,KIL,KUR,MAN,MON,MTL,MTR,MUL,NUW,POL,PUT,RAT,TRI,VAN
2020-11-14,0.0,2.0,2.0,6.0,289.0,6.0,22.0,1.0,0.0,8.0,80.0,4.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0
2020-11-15,1.0,1.0,0.0,1.0,248.0,45.0,44.0,0.0,1.0,10.0,24.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-11-16,0.0,39.0,3.0,0.0,557.0,4.0,63.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
2020-11-17,3.0,0.0,5.0,5.0,157.0,5.0,56.0,0.0,0.0,79.0,2.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-11-18,0.0,3.0,0.0,0.0,260.0,5.0,35.0,0.0,0.0,27.0,4.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2020-11-19,1.0,1.0,1.0,0.0,168.0,3.0,83.0,0.0,0.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0
2020-11-20,0.0,2.0,1.0,2.0,214.0,1.0,79.0,1.0,0.0,17.0,19.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,5.0,6.0,0.0,0.0
2020-11-21,0.0,0.0,0.0,1.0,181.0,16.0,42.0,0.0,0.0,8.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
2020-11-22,0.0,1.0,3.0,0.0,323.0,2.0,46.0,0.0,0.0,23.0,7.0,2.0,2.0,16.0,0.0,1.0,1.0,3.0,0.0,7.0,5.0,0.0,5.0,1.0,0.0
2020-11-23,0.0,2.0,0.0,0.0,208.0,0.0,55.0,0.0,0.0,5.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0
2020-11-24,0.0,1.0,3.0,0.0,239.0,0.0,40.0,0.0,0.0,9.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0
