Date,local_new_case,local_new_death,total_case,total_death
2020-01-27,0,0,,
2020-01-28,0,0,,
2020-01-29,0,0,,
2020-01-30,0,0,,
2020-01-31,0,0,,
2020-02-01,0,0,,
2020-02-02,0,0,,
2020-02-03,0,0,,
2020-02-04,0,0,,
2020-02-05,0,0,,
2020-02-06,0,0,,
2020-02-07,0,0,,
2020-02-08,0,0,,
2020-02-09,0,0,,
2020-02-10,0,0,,
2020-02-11,0,0,,
2020-02-12,0,0,,
2020-02-13,0,0,,
2020-02-14,0,0,,
2020-02-15,0,0,,
2020-02-16,0,0,,
2020-02-17,0,0,,
2020-02-18,0,0,,
2020-02-19,0,0,,
2020-02-20,0,0,,
2020-02-21,0,0,,
2020-02-22,0,0,,
2020-02-23,0,0,,
2020-02-24,0,0,,
2020-02-25,0,0,,
2020-02-26,0,0,,
2020-02-27,0,0,,
2020-02-28,0,0,,
2020-02-29,0,0,,
2020-03-01,0,0,,
2020-03-02,0,0,,
2020-03-03,0,0,,
2020-03-04,0,0,,
2020-03-05,0,0,,
2020-03-06,0,0,,
2020-03-07,1,0,,
2020-03-08,1,0,,
2020-03-09,2,0,,
2020-03-10,2,0,,
2020-03-11,3,0,,
2020-03-12,4,0,,
2020-03-13,4,0,,
2020-03-14,5,0,,
2020-03-15,5,0,,
2020-03-16,6,0,,
2020-03-17,6,0,,
2020-03-18,6,0,,
2020-03-19,7,0,,
2020-03-20,7,0,,
2020-03-21,7,0,,
2020-03-22,7,0,,
2020-03-23,7,0,,
2020-03-24,7,0,,
2020-03-25,6,0,,
2020-03-26,6,0,,
2020-03-27,6,0,,
2020-03-28,6,0,,
2020-03-29,5,0,,
2020-03-30,5,0,,
2020-03-31,5,0,,
2020-04-01,4,0,,
2020-04-02,4,0,,
2020-04-03,4,0,,
2020-04-04,4,0,,
2020-04-05,4,0,,
2020-04-06,4,0,,
2020-04-07,4,0,,
2020-04-08,5,0,,
2020-04-09,5,0,,
2020-04-10,6,0,,
2020-04-11,7,0,,
2020-04-12,8,0,,
2020-04-13,10,0,,
2020-04-14,11,0,,
2020-04-15,13,0,,
2020-04-16,15,0,,
2020-04-17,17,0,,
2020-04-18,19,0,,
2020-04-19,21,0,,
2020-04-20,23,0,,
2020-04-21,25,0,,
2020-04-22,27,0,,
2020-04-23,28,0,,
2020-04-24,29,0,,
2020-04-25,30,0,,
